id,created_at,user_id,content,attachment_base,attachment_extension,title,name
43696612,1634815490,jpfU398,"【超短团大赛】<br />
你是勇者，但你被魔王抓获了。<br />
三天的禁食禁水后，你头脑昏沉，而此时。魔王来到了你的牢房，说：“勇者，加入魔王军吧。”",,,,
43696783,1634815828,lQM2VfI,(　ﾟ 3ﾟ)加入后可以干你吗,,,,
43696803,1634815864,77eERZc,"<font color=""#789922"">&gt;&gt;No.43696783</font>",,,,
43696837,1634815908,jpfU398,"饥饿与干渴让你已经无法去正常思考了，如果是正常状态也许你会断然拒绝吧，但现在，你只是茫然的抬头看向魔王。<br />
<br />
魔王说：“让我想想从什么开始……金钱吧，所有人类都喜欢这个。” <br />
<br />
你的富有程度是：<br />
1——10<br />
一无所有—— 富可敌国<br />
（默认一尾） ",,,,
43696861,1634815945,dze6hqv,r,,,,
43696884,1634815981,RwuwyR4,"<font color=""#789922"">&gt;&gt;No.43696861</font><br />
⊂彡☆))∀`)",,,,
43696899,1634816004,7hypyIV,"<font color=""#789922"">&gt;&gt;No.43696861</font><br />
太惨了( ﾟ∀。)",,,,
43696912,1634816024,ALM5Alv,要被诱惑了( ﾟ∀。),,,,
43696939,1634816071,lQM2VfI,"<font color=""#789922"">&gt;&gt;No.43696861</font><br />
( ﾟ∀。)......",,,,
43696971,1634816131,G00bwra,光速投敌･ﾟ( ﾉヮ´ ),,,,
43697003,1634816181,jpfU398,"<font color=""#789922"">&gt;&gt;No.43696861</font><br />
你一无所有。<br />
<br />
你是：<br />
1 奴隶<br />
2-4 孤儿<br />
5-7 贫民<br />
8-9 破产<br />
0     战争夺走了你的一切",,,,
43697008,1634816190,RwuwyR4,r,,,,
43697054,1634816273,jpfU398,"<font color=""#789922"">&gt;&gt;No.43697008</font><br />
破产。<br />
<br />
破产前你的家境是：<br />
1——10<br />
一无所有——富可敌国 ",,,,
43697070,1634816290,RwuwyR4,r,,,,
43697086,1634816320,vFQxyzU,？,,,,
43697123,1634816400,N8LYt1w,？,,,,
43697148,1634816438,jpfU398,"<font color=""#789922"">&gt;&gt;No.43697070</font><br />
(´ﾟДﾟ`)",,,,
43697150,1634816439,lFoOLLi,？,,,,
43697163,1634816463,ALM5Alv,？,,,,
43697174,1634816487,lQM2VfI,？,,,,
43697191,1634816513,RwuwyR4,前国王，被灭国了吧,,,,
43697240,1634816586,lQM2VfI,这怎么破成这样的，合理怀疑骰娘人工化( ﾟ∀。),,,,
43697292,1634816661,jpfU398,"<font color=""#789922"">&gt;&gt;No.43697070</font><br />
【特殊剧情触发】 <br />
你是：<br />
1-3 富商之子<br />
4-6 贵族之子<br />
7-9 王子<br />
0     国王 ",,,,
