id,created_at,user_id,content,attachment_base,attachment_extension,title,name
48094862,1644074657,Vnng2ID,□什么？为什么你们自己想出来的设定，我还要负责？ᕕ( ᐛ )ᕗ,,,,
48094875,1644074666,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48094831</font><br />
//是文字游戏( ﾟ∀。)",,,,
48094891,1644074675,bUpmisp,//会不会一开始我们去奶茶店的时候就已经注定了( ﾟ∀。),,,,
48094902,1644074685,A8dwFcd,可以控制ray摆大烂吗 反正都是死,,,,
48094944,1644074707,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48094902</font><br />
//操控操控，反正我累了( ﾟ∀。)",,,,
48094971,1644074730,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48094902</font><br />
//都来楼顶，看个日出吧",,,,
48094986,1644074738,UlkQm0s,"挑挑拣拣，挑了一把顺手在自己脖子上比划。<br />
“为什么你死了我才能脱离循环？就不能我自己再死一次么？循环挺有意思的”",,,,
48094998,1644074745,bUpmisp,//算了，现在再想办法吧，既然还能接着跑就有办法破局。,,,,
48095012,1644074759,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48094971</font><br />
//还有那不知道哪里的奶茶都没有喝上",,,,
48095016,1644074761,Vnng2ID,"□holy，你们啊你们，最后给i先生打电话那里，已经是po最后最后的仁慈了<br />
□发挥发挥你们自定义的小脑瓜，想法设法拖住i先生不让他回去接触到u先生不就好了吗？",,,,
48095072,1644074807,A8dwFcd,"<font color=""#789922"">&gt;&gt;No.47967905</font><br />
万恶之源( ﾟ∀。)",,,,
48095091,1644074818,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48095072</font><br />
哈哈哈哈",,,,
48095097,1644074825,bUpmisp,我觉得先跳楼再说，死了之后会恢复记忆，看看有没有办法知道更多信息？,,,,
48095113,1644074832,UlkQm0s,//一切都是骰娘的意思,,,,
48095128,1644074844,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48095097</font><br />
//死了没用，技能没了",,,,
48095147,1644074860,yGRGkqT,//想看日出,,,,
48095157,1644074870,A8dwFcd,摆烂结局了 大家一起摆烂ᕕ( ᐛ )ᕗ,,,,
48095161,1644074874,UlkQm0s,"<font color=""#789922"">&gt;&gt;No.48095072</font><br />
//我的灵光一闪，让剧情走向了鬼畜的境地。",,,,
48095175,1644074885,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48095147</font><br />
//对了，还有那豆浆加油条的早餐ray也没有吃上",,,,
48095183,1644074891,A8dwFcd,"<font color=""#789922"">&gt;&gt;No.48095161</font><br />
其实我还能编来着( ›´ω`‹ )",,,,
48095188,1644074897,bUpmisp,"<font color=""#789922"">&gt;&gt;No.48095016</font><br />
//只要是刷新太快了，我什么都没说这轮行动已经结束了，感觉我发言都是滞后的( ﾟ∀。)7",,,,
48095201,1644074911,Vnng2ID,"□楼顶 清晨  广阔险峻 没有其他人<br />
□Umbra ？？？ 很从容<br />
□Ray 你自己 ？？？<br />
□行动1.攻击 2.攻击3.攻击4.攻击",,,,
48095229,1644074932,bUpmisp,"<font color=""#789922"">&gt;&gt;No.48095128</font><br />
//现在杀了他是不是就还有救？",,,,
48095238,1644074939,yGRGkqT,//好家伙其他三个键被砍了,,,,
48095267,1644074959,Vnng2ID,"<font color=""#789922"">&gt;&gt;No.48095183</font><br />
□(;´ヮ`)7可在你们编好之前，我一早设定他就知道",,,,
48095272,1644074961,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48095229</font><br />
//不知道，我觉得要重开",,,,
48095297,1644074978,UlkQm0s,//我能攻击我自己吗？反正死这么多次了，不差这一次,,,,
48095313,1644075002,UlkQm0s,"<font color=""#789922"">&gt;&gt;No.48095267</font><br />
//所以我是歪打正着( ﾟ∀。)",,,,
48095334,1644075022,Vnng2ID,"<font color=""#789922"">&gt;&gt;No.48095313</font><br />
□我反复说过好几遍了啊(;´ヮ`)7",,,,
48095371,1644075051,UlkQm0s,"<font color=""#789922"">&gt;&gt;No.48095334</font><br />
//是吗？<br />
笨pl脑子都用在怎么跑了当时",,,,
48095372,1644075051,bUpmisp,"<font color=""#789922"">&gt;&gt;No.48095272</font><br />
//其实现在这样我感觉还好，就是我感觉我们在做出最大突破的一周目反而be了，之前什么也不做也没事，有的冤(;´Д`)",,,,
48095391,1644075073,A8dwFcd,umbra不会还在骗我吧 摆烂 我不会让他真正死掉的 不行动,,,,
48095403,1644075079,bUpmisp,"<font color=""#789922"">&gt;&gt;No.48095372</font><br />
//有点( ﾟ∀。)",,,,
48095457,1644075136,Vnng2ID,"<font color=""#789922"">&gt;&gt;No.48095372</font><br />
□一个好po，会在你们山穷水尽的时候引导你们走向正道而不被你们察觉( ´_ゝ`)旦<br />
□(;´ヮ`)7我的委屈，谁又能懂啦!",,,,
48095463,1644075145,UlkQm0s,//此时一个pl陷入了自我怀疑,,,,
48095479,1644075155,A8dwFcd,//此时一个pl陷入了自我怀疑,,,,
48095527,1644075197,Vnng2ID,□等等，先停一停，我重来给你们解释一下所有的部分好不好ﾟ(つд`ﾟ),,,,
48095560,1644075223,A8dwFcd,不管了 我要看umbra彻底坏掉(`ゥ´ ),,,,
48095580,1644075243,yGRGkqT,"<font color=""#789922"">&gt;&gt;No.48095527</font><br />
//好",,,,
48095639,1644075288,Vnng2ID,"<font color=""#789922"">&gt;&gt;No.47976657</font><br />
1.i先生只是看着就能看出一个人有没有杀人",,,,
