id,created_at,user_id,content,attachment_base,attachment_extension,title,name
43087389,1633262077,AxPkv3o,"两鬓斑白的犯人，<br />
端坐在会面室不可逾越的一侧。<br />
<br />
尽管早已被时光所腐蚀，被迟来的正义所制裁，在长久的赎罪中精神早已萎靡——<br />
<br />
&quot;......我没什么好说的。&quot;<br />
<br />
但只有此刻，拒绝的眼神却凌厉的无从反驳。<br />
<br />
可是，这个人是最后的突破口了：<br />
<br />
&quot;只有您还知道那城里发生过什么。如果您再沉默不言，一切只会真的让那些人侥幸逃脱！&quot;<br />
<br />
&quot;——就算我真的知道，那又怎样！一切都已经铸成了！谁都没办法挽回！&quot;<br />
&quot;更何况，我又怎么可能知道......&quot;<br />
<br />
说到这，犯人起身，转过，默默诉说：<br />
<br />
&quot;孩子。我不知道你有什么本事，竟然能找到这里。但是一切终究已经结束了。&quot;<br />
&quot;到此为止吧。&quot;<br />
<br />
随后，步履缓慢但坚定的，毫不回头的离开了会面室。只空余一人在暗自愁伤。",,,非常不友好/龟速更新/随时会咕,国庆特开的瞎JB搞实验团
43087414,1633262113,LAGfV1A,"新城的秋夜，距离夜深人静，稍有些时间。<br />
<br />
但原本应当是热闹的夜晚，大街上却也没多少人。甚至三两个损坏的路灯，石砖与柏油路面上随风飘扬而无人打扫的诸多落叶，更是显得这里破败。<br />
<br />
&quot;......果然，还是离开这里最好啊。&quot;<br />
<br />
路旁的男子L，背靠路灯柱喃喃着。这地方他几年前也是来打拼过的。但是，现在这副摸样，想必是已经一个子都捞不到了。<br />
<br />
趁被套牢之前，还是赶紧离开的好。<br />
<br />
只不过——<br />
<br />
在他面前的那座，几年前还门庭若市，现在却连工作人员也已悉数搬出，内中只有着空虚黑暗的那栋政府大楼，现在就在他的面前。<br />
<br />
他记得，还有些东西在这里......<br />
取走吧。一是看这东西在不在这，二是临走前也留个念想。<br />
<br />
这么想，他向着楼内走去：<br />
<br />
——————<br />
<br />
&gt;&gt;从正面走入<br />
&gt;&gt;从后门溜入<br />
&gt;&gt;要什么念想，溜了溜了<br />
&gt;&gt;自定义",,,,
43087499,1633262258,ylDX2OE,1,,,,
43087559,1633262377,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.43087414</font><br />
换了个饼，男子L<br />
可能是伏笔，标记一下( ´∀`)<br />
<br />
1",,,,
43087947,1633263013,LAGfV1A,"<font color=""#789922"">&gt;&gt;No.43087499</font><br />
<font color=""#789922"">&gt;&gt;No.43087559</font><br />
<br />
小心的推开。<br />
<br />
......尽管说，在晚上偷偷溜进这种地方，向来是让L有些紧张的——<br />
<br />
&quot;什么啊，连小孩子的涂鸦都在这里......&quot;<br />
<br />
离前门不远的一堵白墙，现在甚至还能看见童趣的艺术。真是虚惊一场。想必这楼早就已经无人管理了吧。<br />
<br />
嘛，尽管新城政府因为这小城规模的萎缩，决定临时迁往人口更为密集的区域确实并无不妥......但这老楼就总给人一种破落荒诞感啊。<br />
<br />
反正先做正事吧。<br />
<br />
&quot;我记得，这玩意是在楼上的来着......？&quot;<br />
<br />
L自言自语，缓缓寻找着楼内的阶梯。嘛，其实L自己也没什么数，毕竟本来也不能指望这地方还能留下什么有用的东西。<br />
<br />
尤其是在这的各位老大们，想来都是异常谨慎的。<br />
<br />
可虽然对方的对策万全，但作为自由职业者(实际无业二流子)的L，倒是有个独门绝技——<br />
<br />
就是一般人所不可能拥有的，无限的空闲时间啦。至少这两天是这样的。<br />
<br />
所以，放开手脚开干吧！L这么想，决定立刻行动：<br />
<br />
——————<br />
<br />
&gt;&gt;先从楼上开始找<br />
&gt;&gt;一层一层的，细致的进行调查<br />
&gt;&gt;涂鸦，好耶！<br />
&gt;&gt;自定义",,,,
43087975,1633263071,5MAQJtW,1,,,,
43087979,1633263077,ylDX2OE,3,,,,
43088039,1633263194,7On6kzJ,1,,,,
43088132,1633263374,CiT8vWm,1,,,,
43088602,1633264216,bho3xLN,3,,,,
