refId,atShard
39892768,0
39892804,0
39892835,0
39893893,0
39904530,0
39904715,0
39905098,0
39905709,0
39906646,0
39907490,0
39908379,0
39910340,0
39933896,0
39972629,0
39973278,0
39975824,0
39978336,0
39988180,0
39988229,0
39996178,1
40013416,1
40028192,1
40030955,1
40033329,1
40038560,1
40041486,1
40042281,1
40043308,1
40048879,1
40050053,1
40050225,1
40052931,1
40064830,1
40065814,1
40066267,1
40066740,1
40070952,1
40072210,1
40072454,1
40073088,1
40074445,1
40074459,2
40075554,2
40076140,2
40080023,2
40080032,2
40080043,2
40081324,2
40082953,2
40086318,2
40110817,2
40110841,2
40112778,2
40116417,2
40116485,2
40123876,2
40123977,2
40136536,2
40142300,2
40146688,2
40149923,2
40157164,2
40165113,2
40166099,3
40186459,3
40191483,3
40197009,3
40218284,3
40234174,3
40259151,3
40294096,3
40303147,3
40309083,3
40316257,3
40334962,3
40340400,3
40340792,3
40345723,3
40386198,3
40460948,4
40485237,4
40485266,4
40544660,4
40546498,4
40546688,4
40567336,5
40568421,5
40581172,5
40600118,5
40646852,5
40646905,5
40682715,6
40715732,6
40744361,6
40750106,6
40764601,7
40781070,7
40782150,7
40783654,7
40787211,7
40788571,7
40789506,7
40791611,7
40823889,7
40843352,8
40858007,8
40877813,8
40878593,8
40973234,9
40974567,9
40976571,9
40985906,9
41029804,10
41042286,10
41047109,10
41049159,10
41051628,10
41062594,10
41066100,10
41066877,10
41068567,10
41070822,11
41101709,11
41163025,12
41177180,12
41188380,12
41195966,12
41198943,12
41210932,12
41211754,12
41214353,12
41214406,12
41278191,13
41286500,13
41289431,13
41292476,13
41319238,14
41351255,14
41351984,14
41355051,14
41357840,14
41358864,14
41369452,14
41372556,14
41372635,14
41382204,14
41421729,15
41422607,15
41428525,15
41430564,15
41431608,15
41432341,15
41444918,15
41447167,15
41459401,15
41483965,15
41485266,15
41486096,16
41486209,16
41486834,16
41487326,16
41488879,16
41502027,16
41510184,16
41510400,16
41511952,16
41512165,16
41518570,16
41518759,16
41527372,17
41546768,17
41547281,17
41551016,17
41565585,17
41566498,17
41566946,17
41567723,17
41568127,17
41568703,17
41568760,17
41581013,17
41586436,17
41600732,18
41603619,18
41612079,18
41643546,18
41646168,18
41651108,18
41652274,18
41652502,18
41668428,19
41669283,19
41685655,19
41692270,19
41693934,19
41695293,19
41695928,19
41696382,19
41744871,19
41757991,20
41776761,20
41785534,20
41797585,20
41801867,20
41811979,20
41821228,20
41836849,21
41865434,21
41865597,21
41865671,21
41866819,21
41868431,21
41869289,21
41870505,21
41870857,21
41870974,21
41872863,21
41875441,21
41875911,21
41877535,21
41904897,21
41964892,22
41969075,22
41970366,22
41978628,22
41983040,22
42030705,22
42033147,22
42033281,22
42033395,22
42040894,23
42091734,24
42132023,24
42138536,24
42149808,24
42150309,24
42162839,25
42162853,25
42180423,25
42181572,25
42185213,25
42185782,25
42186989,25
42188902,25
42189691,25
42190864,25
42192434,25
42194689,25
42201930,25
42208210,25
42209286,25
42209772,25
42210475,26
42279752,26
42298102,27
42310266,27
42315189,27
42359979,27
42394621,28
42396537,28
42414381,28
42415015,28
42416217,28
42420177,28
42420584,28
42421828,28
42424419,28
42427850,28
42429126,28
42429662,28
42430691,28
42431662,28
42433147,28
42433221,28
42434126,29
42434948,29
42498939,29
42574169,30
42574389,30
42575683,30
42576506,30
42587371,30
42587734,30
42591469,30
42695021,30
42695029,30
42695041,30
42700201,30
42738158,31
42738954,31
42739347,31
42739553,31
42778281,31
42781307,31
42784278,31
42785798,31
42795866,31
42797429,31
42799288,31
42799680,31
42800793,31
42800953,31
42809004,31
42873439,32
42935858,33
43056210,34
43079680,34
43080819,34
43082644,34
43086280,34
43129362,34
43131329,34
43153154,35
43231428,35
43250688,35
43250715,35
43315849,36
43340942,36
43358913,37
43360939,37
43364949,37
43365027,37
43367703,37
43384472,37
43386074,37
43387149,37
43414679,37
43415398,37
43416427,37
43416455,37
43474020,38
43474751,38
43484525,38
43484988,38
43485877,38
43491576,39
43529698,39
43529878,39
43545176,39
43545198,39
43620824,40
43621513,40
43623065,40
43713183,41
43714114,41
43717701,41
43799133,41
43818638,41
43825803,41
43828021,41
43838243,41
43840257,41
43861258,42
43863902,42
43867253,42
43873394,42
43875455,42
43877127,42
43879611,42
43893655,42
43909312,42
43911212,42
43919003,42
43940549,42
43947846,42
43951424,42
43977578,43
43991546,43
44008775,43
44042447,43
44052990,43
44055343,43
44059301,43
44061253,43
44062839,43
44092212,44
44093919,44
44107656,44
44114351,44
44147494,44
44149614,44
44182833,44
44196423,44
44253011,45
44412782,45
44425982,45
45624936,46
45641590,46
45644351,46
45648508,46
45695337,46
45788573,47
45788631,47
45788728,47
45788769,47
45810001,48
45811249,48
45848032,49
45852392,49
45912770,49
45912831,49
45968821,50
45993581,50
46037344,50
46037350,50
46093665,51
46120829,51
46188708,51
46297586,52
46346764,53
46363095,54
46392059,54
46393180,54
46394455,54
46397094,54
46398179,54
46399260,55
46428002,55
46429849,55
46441754,55
46443439,55
46445245,55
46488231,56
46491191,56
46492078,56
46495247,57
46510758,57
46535419,57
46535512,57
46580323,58
46581065,58
46581180,58
46583056,59
46583129,59
46583154,59
46583272,59
46583457,59
46599423,59
46601664,59
46602451,59
46603847,59
46606620,59
46607312,59
46608002,59
46608299,59
46608526,59
46609019,59
46610977,59
46613316,59
46613383,59
46647474,60
46689490,61
46747668,62
46747673,62
46747694,62
46761019,63
46816296,64
46827497,64
46942742,66
46943843,66
46945278,66
47094793,68
47094999,68
47095207,68
47095870,68
47097404,68
47098844,68
47099413,68
47099897,68
47101429,69
47104586,69
47105661,69
47106704,69
47107703,69
47108640,69
47109412,69
47170050,70
47170560,70
47208356,71
47208383,71
47271396,72
47279993,73
47314260,73
47359516,74
47437425,76
47485481,76
47491973,76
47493985,76
47494017,76
47508233,77
47508724,77
47511198,77
47512141,77
47512223,77
47512359,77
47512523,77
47512682,77
47512699,77
47512758,77
47512903,77
47513813,77
47515776,77
47552223,79
47721869,82
47766911,82
47824529,83
47824563,83
47849445,83
47926336,84
47930625,84
48001685,84
48020218,84
48070588,85
48072802,85
48073861,85
48076138,85
48188847,86
48189068,86
48221212,87
48221375,87
48300020,88
48300261,88
48300263,88
48418459,89
48552802,90
48630007,91
48713382,92
48808308,93
48902693,94
48966146,95
