id,created_at,user_id,content,attachment_base,attachment_extension,title,name
46610647,1641289312,16R4OAj,r,,,,
46610648,1641289319,Af0Il7f,r,,,,
46610844,1641289643,OBrw7Cn,"重要评价来自权威测评机构、著名游戏人物和大众主流观点——当然，不乏一些主观暴论。<br />
<br />
网络上关于《A岛匿名版》和华莱士记者公司的重要评价如下：<br />
<br />
“似乎是一家名不经传的小公司。”<br />
<br />
“游戏创意爆炸！就是不知道为什么不火？”<br />
<br />
“求求他们请个音乐总监。”<br />
<br />
“太小众，冷门公司和冷门游戏。”<br />
<br />
“（1/4）”<br />
<br />
“（2/8）”<br />
<br />
“（3/9）”",,,,
46610921,1641289761,xfGlkGG,完美，多出几款，最好日更,,,,
46610944,1641289787,vhaGU5d,引领潮流，未来新星,,,,
46610953,1641289807,Dc74hZs,很好用，孩子很喜欢,,,,
46610998,1641289869,vhaGU5d,下次能提供音乐下载连接不,,,,
46611175,1641290120,Af0Il7f,充值一次只能抽268，你知道我充20w充了多久吗？能不能改进下,,,,
46611527,1641290688,OBrw7Cn,"<font color=""#789922"">&gt;&gt;No.46610921</font><br />
<font color=""#789922"">&gt;&gt;No.46610953</font><br />
<font color=""#789922"">&gt;&gt;No.46610998</font><br />
大体而言，对你们的评价较为客观且多元，起码对公司的名声没有产生负面影响。同时你的公司开始出现“拥趸”：他们在玩家群体里占比较小，但更为狂热，他们可以不在乎游戏品质和行为无条件支持你，但过分疯狂的拥趸也可能摸黑公司的名声。<br />
<br />
冬季结算<br />
游戏收益与维护：《A岛匿名版》收益6资金、维护1资金<br />
员工薪酬：袁腾冲人薪酬5资金<br />
<br />
余额：1资金",,,,
46611666,1641290882,OBrw7Cn,"第二年，春季<br />
华莱士记者公司<br />
规模：1<br />
名声：1<br />
拥趸：1<br />
资金：1<br />
运营项目：<br />
1.《A岛匿名版》（人气剩余3季：+3*2资金，-1资金）<br />
<br />
新的一年，你着手招聘新员工了。<br />
1.没钱了，不招<br />
2.街上随便逛逛抓人（1候选员工）<br />
3.平台招聘（-1资金，2候选员工）",,,,
46611694,1641290929,8UOpkii,2 就是赌,,,,
46611731,1641290986,yzyDhaG,2,,,,
46611775,1641291059,ZjSWYVz,2！音乐鬼才来ᕕ( ᐛ )ᕗ,,,,
46611789,1641291083,vhaGU5d,2,,,,
46611814,1641291115,Af0Il7f,2,,,,
46612076,1641291507,OBrw7Cn,"绑架代替招聘！<br />
<br />
哦，我是说，偶遇代替招聘。<br />
<br />
-2拖后腿 01-10 10%<br />
-1拉垮 11-25 15%<br />
+0普通 26-55 30%<br />
+1良好 56-75 20%<br />
+2优秀 76-90 15%<br />
+3精英 91-99 9%<br />
+4顶尖 00 1%<br />
<br />
每两个回复尾数分别代表十位数和个位数，十个回复，请",,,,
