id,created_at,user_id,content,attachment_base,attachment_extension,title,name
44758544,1637500696,FpOweX7,blyat我又错饼了(;´Д`),,,,
44758604,1637500845,iOwWSBR,"<font color=""#789922"">&gt;&gt;No.44758433</font>",,,,
44759125,1637501780,PpsMBwW,"<font color=""#789922"">&gt;&gt;No.44758525</font><br />
&gt;关于三哥的婚事<br />
<br />
“……”<br />
“哈哈！你是真在自己房间里呆傻了，还能有谁，宰相的大女儿！也是一位大骑士。你三哥今年35，那位小姐今年32，多亏蕾欧娜帮忙，总算表了个白！我也就顺水推舟，安排了政治联姻。也算是，有情人终成眷属了吧。”<br />
“……”<br />
“订婚在2个月以前，结婚也就不会多久了。不过你三哥那个笨蛋，居然没有准备什么拿的出手的礼物。你去下城区的时候，记得给他买几件漂亮珠宝，拿去送给他，然后换他几件武器留着。买珠宝和首饰的钱，你开皇家支票就行了。要是遇上了喜欢的珠宝或者珍奇玩意，你给自己也留两件。加起来不超过4000金币就行，算是给你哥哥准备的彩礼。国师批准过了，不过别忘了砍价。”<br />
“……”<br />
“孩子么，还是皇室老规矩，除了国王后代，一律算是亲家的孩子。按照他们的进度，可能婚礼的时候就有动静了。”",,,,
44759161,1637501857,PpsMBwW,"◆西部领公爵的婚礼将于14日举行，彼时王宫将有盛大的庆典<br />
<br />
<br />
（1/6）<br />
对话2fy：<br />
&gt;关于国师<br />
&gt;关于皇家邮差<br />
&gt;关于之前的吵架<br />
&gt;关于彻图霍慈<br />
&gt;关于典狱长<br />
&gt;关于孩子们<br />
&gt;关于兄长的龙<br />
&gt;关于仆从培养的建议<br />
&gt;自定义<br />
&gt;结束对话",,,,
44759198,1637501912,mjdGuy6,二哥的龙(oﾟωﾟo),,,,
44759208,1637501940,PpsMBwW,"<font color=""#789922"">&gt;&gt;No.44759198</font><br />
⊙<br />
就这个吧",,,,
44759229,1637501973,3TK6rXi,pps，我问一下，阿七有鉴别奢侈品价格的能力吗( ﾟ∀。),,,,
44759429,1637502346,mjdGuy6,"<font color=""#789922"">&gt;&gt;No.44759208</font><br />
别<br />
能不能问问皇家支票先(´∀((☆ミつ ",,,,
44759459,1637502395,wBoHRXY,"<font color=""#789922"">&gt;&gt;No.44759429</font><br />
我也想问皇家支票的支线",,,,
44759788,1637502965,PpsMBwW,"&gt;关于兄长的龙<br />
<br />
“……”<br />
“你嫂子走了以后，怀特和赛娅一直是弗雷多丽雅在照顾，她现在是家里的女主人了，起居上的事情莱特妮丝都没她的话语权高。当初能在野外遇上她，真是幸运。”<br />
“……”<br />
“希露菲尔……她还是和我从妈妈那里接手过来的时候一样，我做所有工作的时候都陪着我，但此外的时间，她都在自己看书。”<br />
“……”<br />
“国师……除了工作以外的时间，都像个操心过度的老妈子，但她床上太猛了。幸亏龙的魔力和约契能反过来补充和调养人的身体，不然她一个就能让我下不来床。”<br />
“……”<br />
“别这么说，倒是你，什么时候去找个妻子？或者你能找个影卫做正妻也行。”<br />
“……”<br />
“你问我？我最喜欢的肯定是弗雷多丽雅。”",,,,
44759813,1637503027,PpsMBwW,"<font color=""#789922"">&gt;&gt;No.44759229</font><br />
●这是一个领主的基本功，皇家教育里对这一点也有过教学",,,,
44759940,1637503242,3TK6rXi,"<font color=""#789922"">&gt;&gt;No.44759788</font><br />
( ﾟ∀。)",,,,
44760061,1637503453,mjdGuy6,脚踏三条船，，，我的护符是在二哥床上熬过了很多个回合( ﾟ∀。),,,,
