id,created_at,user_id,content,attachment_base,attachment_extension,title,name
36106937,1616500845,SPSiyKY,"【温馨向】【轻松向】<br />
猫猫小镇开始动工啦!<br />
那边的猫猫，你也要加油哦!<br />
　∧　∧<br />
=(   ﾟ ωﾟ  )=",,,,
36106948,1616500866,SPSiyKY,"参与方式:<br />
一块饼干一天内可以进行【探索】【搜集】【发明】【狩猎】这四种主行动中的一种，每一种行动都要花费一个小鱼干<br />
<br />
＞【探索】:会发现新地点喵～可能会有新的资源和领土!<br />
<br />
＞【搜集】:每只猫猫每天可以搜集一个单位的指定物资哦<br />
<br />
＞【发明】:提出一些新鲜的想法，然后会被奇怪的两脚兽评估需要什么东西才可以完成<br />
<br />
＞【狩猎】:以狩猎发言这一条的秒数尾来决定获得猎物的数量，统一计量单位小鱼干。",,,,
36106953,1616500875,NMNWk0k,U(*ﾟ∇ﾟ)U hafu hafu,,,,
36106960,1616500886,SPSiyKY,"举个例子:<br />
一只猫猫喵喵喵:今天要探索!<br />
<br />
一个kpppp:你发现了地点【小树林】!出产的主要资源是【树木】!<br />
<br />
一只猫猫喵喵喵:今天要搜集树木!<br />
<br />
一个kpppp:你搜集了一个单位的树木!猫猫小镇现在的树木量是1!<br />
<br />
一只猫猫喵喵喵:我想要发明猫舍!<br />
<br />
一个kpppp:好!你发明了猫舍!需要20个树木才可以建造出占地一格，可以容纳五只猫猫的猫舍哦!<br />
<br />
一只猫猫喵喵喵:我想要狩猎!(秒尾5)<br />
<br />
一个kpppp:好!你获得了五个小鱼干!",,,,
36106968,1616500897,wOua9di,"A 　  A<br />
(ﾉ)`ω´(ヾ)",,,,
36106981,1616500922,SPSiyKY,"那么，现在的猫猫小镇有什么呢?<br />
<br />
【领地】0/5 五格地盘，还什么都没有哦<br />
【小鱼干】 10<br />
【树木】0<br />
<br />
哇，这不是一穷二白吗?要快点开始工作才行!",,,,
36107004,1616500955,wOua9di,猫猫需要有个名字，张顺好了ᕕ( ᐛ )ᕗ,,,,
36107007,1616500961,SPSiyKY,各位小猫猫可以根据形势和互相的交流决定行动哦(=ﾟωﾟ)=猫猫小镇就交给大家啦!,,,,
36107008,1616500961,iRR3akN,发明 钓鱼机,,,,
36107019,1616500990,Xr4GknL,发明 基础蒸汽机,,,,
36107051,1616501051,Ge3r3gW,"狩猎<br />
( `д´)我roll",,,,
36107063,1616501077,wOua9di,"<font color=""#789922"">&gt;&gt;No.36107004</font><br />
以后我这只喵喵就叫做张顺了( `д´)",,,,
36107064,1616501078,abX8PY7,"好耶，是猫国建设<br />
　∧　∧<br />
=(   ﾟ ∀。 )=探索",,,,
36107065,1616501078,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.36107008</font><br />
猫猫的小脑袋开始了思考……<br />
<br />
需要【猫猫文明等级ⅲ】<br />
<br />
呜哇，蠢猫猫什么都没想到……<br />
<br />
【鱼干】:9",,,,
36107079,1616501097,Wk8Z3ZH,狩猎,,,,
36107082,1616501112,Wk8Z3ZH,"<font color=""#789922"">&gt;&gt;No.36107051</font><br />
 ﾟ∀ﾟ)σ",,,,
36107093,1616501129,iRR3akN,(ゝ∀･)我这只猫叫花月就好了,,,,
36107095,1616501135,wOua9di,"　　　　　　　　　A　A<br />
张顺喵喵要进行探索( `д´)",,,,
36107096,1616501135,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.36107019</font><br />
猫猫的小脑袋开始了思考……<br />
<br />
需要【猫猫文明等级ⅱ】<br />
<br />
呜哇，蠢猫猫什么都没想到……<br />
<br />
【鱼干】:8",,,,
