id,created_at,user_id,content,attachment_base,attachment_extension,title,name
40911841,1627995879,SPSiyKY,"「每一块拼图」<br />
<br />
如果一切可以重来，事情会变得更好吗?<br />
<br />
＞会<br />
＞不会",2021-08-03/61093ee5454d7,.jpg,,
40911848,1627995892,RrCHVnk,2,,,,
40911852,1627995898,jH67Ctr,1,,,,
40911862,1627995907,ClfTkkE,r,,,,
40911863,1627995907,33U3DsY,2,,,,
40911871,1627995918,MJ8pwVY,1,,,,
40911906,1627995977,bevAMwb,1,,,,
40911915,1627995994,DZflgve,1,,,,
40911926,1627996013,8mO7CCg,1,,,,
40911979,1627996084,5MAQJtW,2,,,,
40911986,1627996093,5JXiKfD,2,,,,
40912000,1627996122,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40911848</font><br />
「命运自有其轨迹。」<br />
<br />
2015/5/19<br />
<br />
“医生……能请你帮忙隐瞒我父亲吗?”对面的年轻男子抹泪恳求，“我实在是没有钱治……您发发善心吧！”<br />
<br />
＞写下“癌症晚期”<br />
＞写下其他疾病",,,,
40912019,1627996143,RrCHVnk,1,,,,
40912024,1627996158,MJ8pwVY,1,,,,
40912057,1627996204,X3pmu9c,1,,,,
40912060,1627996205,5JXiKfD,2,,,,
40912067,1627996210,8mO7CCg,2,,,,
40912072,1627996218,6G4W9wD,1,,,,
40912116,1627996300,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912019</font><br />
<font color=""#789922"">&gt;&gt;No.40912024</font><br />
2015/5/28<br />
<br />
那是一个钱包。<br />
我认得那个女人，某局长的情妇。<br />
她生活富裕，为人傲慢。她不需要这笔钱，而我癌症晚期的父亲需要。<br />
<br />
＞动手<br />
＞放弃",,,,
40912136,1627996333,sIahNDZ,2,,,,
40912156,1627996353,FSzkASe,1,,,,
40912171,1627996369,MJ8pwVY,2,,,,
40912176,1627996373,5JXiKfD,2,,,,
40912191,1627996390,RrCHVnk,2,,,,
40912195,1627996400,5MAQJtW,1,,,,
40912274,1627996488,VFQmfIJ,1,,,,
40912281,1627996501,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912136</font><br />
<font color=""#789922"">&gt;&gt;No.40912171</font><br />
同日<br />
<br />
“老张，有人跳河！”<br />
“老张，有人丢了包！”<br />
两个喊声同时响起，我有点头痛。<br />
<br />
＞处理跳河<br />
＞处理丢包",,,,
40912291,1627996516,5JXiKfD,1,,,,
40912292,1627996517,RrCHVnk,1,,,,
40912353,1627996607,DZflgve,2,,,,
40912375,1627996634,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912291</font><br />
<font color=""#789922"">&gt;&gt;No.40912292</font><br />
同日<br />
<br />
今天我偷了一个光鲜亮丽的美人的包。<br />
这不重要，我经常这么干——我是个扒手。<br />
但是这包里没有贵重物品，而是……<br />
<br />
一个人头。<br />
<br />
＞丢掉<br />
＞收着",,,,
40912383,1627996644,FSzkASe,1,,,,
40912387,1627996649,RrCHVnk,1,,,,
40912411,1627996691,5MAQJtW,2,,,,
40912437,1627996735,5JXiKfD,1,,,,
40912463,1627996769,5MAQJtW,这不是给警方破案增加难度么( ﾟ∀。),,,,
40912505,1627996844,X3pmu9c,1( ﾟ∀。)小偷看到这东西应该也会报警吧，太吓人了,,,,
40912508,1627996847,bevAMwb,2,,,,
40912534,1627996882,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912383</font><br />
<font color=""#789922"">&gt;&gt;No.40912387</font><br />
2015/5/29<br />
<br />
“没事，没事，一个小毛贼……”那个大腹便便的男人紧张地踱步，汗珠从他半秃的脑门淌下。<br />
这个老男人杀了人，和我有什么关系?！我顶多是试图抛尸，还没做成……<br />
<br />
＞报警<br />
＞沉默",,,,
40912551,1627996917,5JXiKfD,2,,,,
40912621,1627997028,X3pmu9c,1,,,,
40912629,1627997040,8mO7CCg,1,,,,
40912661,1627997105,NKFlUSp,2,,,,
40912668,1627997120,FSzkASe,1,,,,
40912672,1627997127,8mO7CCg,人物串起来了,,,,
40912708,1627997194,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912621</font><br />
<font color=""#789922"">&gt;&gt;No.40912629</font><br />
“张警官，我是无辜的！”王莉莉用纸巾抹掉眼泪，眼妆一点没花。<br />
我也不在乎她假惺惺掉的眼泪。我只在意她说的关于周局杀了某个自由新闻人的事情。<br />
<br />
＞正面搜查<br />
＞隐秘调查",,,,
40912712,1627997199,FPI6J03,(*ﾟ∀ﾟ*)这个设计有意思,,,,
40912725,1627997217,8mO7CCg,下一个视角是不是这个局长啊,,,,
40912738,1627997244,8mO7CCg,2 并不是,,,,
40912739,1627997246,5JXiKfD,2,,,,
40912917,1627997536,Oeiaz7l,隐秘调查,,,,
40912966,1627997603,X3pmu9c,2,,,,
40912968,1627997605,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40912738</font><br />
<font color=""#789922"">&gt;&gt;No.40912739</font><br />
2015/5/31<br />
<br />
我已经用尽了所有方法，但是没有任何人能够帮我扳倒周栋。连之前说要帮我那个记者都消失得无影无踪。<br />
<br />
我没得选择。<br />
<br />
＞跳下<br />
＞跳下",,,,
40913004,1627997656,8mO7CCg,(|||ﾟдﾟ),,,,
40913020,1627997685,5MAQJtW,1,,,,
40913031,1627997700,5JXiKfD,1,,,,
40913041,1627997715,sIahNDZ,1,,,,
40913094,1627997798,Oeiaz7l,跳( ﾟ∀。),,,,
40913238,1627998012,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40913020</font><br />
<font color=""#789922"">&gt;&gt;No.40913031</font><br />
2021/8/3<br />
<br />
“所以……结果就是，有个绝望的母亲跳了楼，有个痛苦的父亲坐了牢，一位绝望的儿子跳了河，一位绝望的女儿吃了药，一对沉默的兄妹交接了命。”<br />
<br />
看不清面目的人坐在桌前。<br />
<br />
“这样的结果，你满意吗?”<br />
<br />
＞可以接受<br />
＞并不满意",,,,
40913274,1627998071,5MAQJtW,1,,,,
40913342,1627998175,VFQmfIJ,2,,,,
40913449,1627998362,Oeiaz7l,"不满意 <br />
<br />
<br />
发生了什么((( ﾟ∀。)))<br />
痛苦的父亲，绝望的女儿，沉默的兄妹有出场过吗",,,,
40913534,1627998536,8mO7CCg,2,,,,
40913545,1627998557,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40913342</font><br />
<font color=""#789922"">&gt;&gt;No.40913449</font><br />
「全收集是个好癖好。」<br />
<br />
“既然不满意，那么我们再来一次。”",,,,
40913602,1627998657,SPSiyKY,"2015/5/19<br />
<br />
“医生……能请你帮忙隐瞒我父亲吗?”对面的年轻男子抹泪恳求，“我实在是没有钱治……您发发善心吧！”<br />
<br />
“对不起，我们医院有规定，不能这样做。”<br />
<br />
“但是我父亲如果知道他得了这样的病，为了不拖累我一定会立刻自杀的！如实写就相当于在杀人啊！”<br />
<br />
＞写下“癌症晚期”<br />
＞写下其他疾病",,,,
40913613,1627998679,8mO7CCg,2,,,,
40913616,1627998683,5MAQJtW,1,,,,
40913618,1627998687,sIahNDZ,2,,,,
40913690,1627998782,8mO7CCg,"<font color=""#789922"">&gt;&gt;No.40912281</font><br />
这里应该处理丢包，或者小偷选择收起人头？",,,,
40913780,1627998952,SPSiyKY,"<font color=""#789922"">&gt;&gt;No.40913613</font><br />
<font color=""#789922"">&gt;&gt;No.40913618</font><br />
2015/6/2<br />
<br />
“宋主任，这可是你们医院全责啊！”<br />
<br />
“真的很抱歉，我们已经承诺过会进行赔偿了，可以请你们不要再闹了吗……”<br />
<br />
“不够！我要你们辞退那个误诊的垃圾医生！**的玩意……”<br />
<br />
＞辞退司徒清<br />
＞保住司徒清",,,,
40913786,1627998967,RrCHVnk,"绝望的母亲<br />
痛苦的父亲（周栋之父）<br />
绝望的儿子（癌症父子）<br />
绝望的女儿<br />
沉默的兄妹<br />
<br />
张警官【从属】→周栋（警察局长）<br />
王莉莉（情妇）【情人】→周栋（警察局长）<br />
周栋的父亲【杀害】→记者<br />
周栋（警察局长）【抛尸】→记者<br />
<br />
身份未辨明：癌症父子、扒手、跳楼人",,,,
40913798,1627998996,RrCHVnk,2,,,,
40913804,1627999002,8mO7CCg,2,,,,
