id,created_at,user_id,content,attachment_base,attachment_extension,title,name
43881400,1635256352,efEMppK,"【非常短】【百合团】【取第一回复】<br />
<br />
比你知道自己只是个无聊作者如同发泄般创造出的角色更糟糕的事是什么呢？<br />
大概是你回到家中，发现你最最最最重要的恋人，正和另外一个人滚在床上。<br />
<br />
那一刻，你的信仰崩塌了。<br />
<font color=""blue"">*完结*</font>",,,,
43881421,1635256378,zACjSnV,"( ﾟ∀。)！<br />
gkd",,,,
43881441,1635256407,lu6WzPM,"<font color=""#789922"">&gt;&gt;No.43881421</font><br />
gkdgkd",,,,
43881485,1635256489,efEMppK,"在可讽可悲的如今，你看着她，像看着______。<br />
<br />
＞一坨肉<br />
＞一截骨头<br />
＞一个灵魂",,,,
43881540,1635256568,iTfcUW7,2断裂的骨头,,,,
43881549,1635256584,x1Lp80f,3,,,,
43881574,1635256621,kfPVLi1,1,,,,
43881581,1635256638,7hypyIV,3,,,,
43881779,1635257029,efEMppK,"＞骨<br />
<br />
你说过遇见她就像找回自己一截缺失的肋骨。<br />
她的回应是一个烂漫的笑容和拥抱。<br />
那个浪漫，迷人，美得惊人的女孩，就这样轻飘飘地笑着飞到你的怀中。<br />
<br />
你们曾经发誓要永远在一起的。<br />
——你们曾经发誓过。<br />
<br />
如今她蒙在被褥里看着你，惊恐的眼神让你想到某种发抖的动物。<br />
<br />
你看到她的出轨对象正站在床前。<br />
是<br />
＞男性<br />
＞女性",,,,
43881867,1635257204,x1Lp80f,2,,,,
43881903,1635257281,lu6WzPM,"<font color=""#789922"">&gt;&gt;No.43881867</font>",,,,
43882070,1635257547,efEMppK,"＞女性<br />
<br />
另一个女人。<br />
身材高挑，眉眼秀丽。<br />
你并没有关于她的印象。<br />
<br />
此刻她毫不避讳你的存在，只是慢条斯理地系上蕾丝胸罩，扣好裙扣，披上上衣。你觉得那仿佛是在炫耀，或是一种无声的轻慢。<br />
<br />
被指甲刺破的手心一阵阵发痛。<br />
<br />
你<br />
＞离开<br />
＞质问<br />
＞沉默",,,,
43882102,1635257594,yCIy8ug,2,,,,
43882141,1635257669,lu6WzPM,质问那个高挑女人“为什么不找我？？？”,,,,
43882159,1635257694,iTfcUW7,1,,,,
43882337,1635257978,efEMppK,"＞质问<br />
<br />
在一片沉默中，你先开口了，你尽量让自己显得平静。<br />
<br />
“为什么？”<br />
<br />
看啊，多么俗套的这三个字。为什么，对不起，我爱你，简直就是世间最俗的谎言和笑话。所有情绪在脑海中激烈地沸腾翻涌，你在一片剥离般的平静里，感到了一点不合时宜的恶心。<br />
<br />
你的恋人没有回话。<br />
<br />
<br />
那位女性终于穿好了最后一件衣服，转过身来彬彬有礼地对你说：<br />
“对不起，如您所见，是她先勾引我的。”<br />
<br />
<br />
你________<br />
（自定义）",,,,
43882898,1635258942,MrMmcX8,你搁这装君子，假装不知道自己干的是什么事？,,,,
43883267,1635259592,efEMppK,"＞讽刺<br />
<br />
“你搁这装君子，假装不知道自己干的是什么事？”<br />
你压抑着怒火，讽刺道。<br />
<br />
然而女子毫不在意。<br />
“第三者，”她指指她自己，“出轨，”她指指你的恋人。“如果没什么事，我就先告辞了？”<br />
<br />
你终于忍不住扇了她一巴掌。<br />
<br />
力道很大，她啐了一口血沫，评价道：<br />
“看来你还是有点血性的啊。”<br />
<br />
“我确实当了一回婊子，但还是建议你和她好好沟通哦。”<br />
她最后一边笑着这么说，一边作势欲走。<br />
<br />
要拦吗？<br />
＞拦<br />
＞不拦",,,,
43883318,1635259668,yCIy8ug,2( ﾟ∀。),,,,
43883566,1635260052,lu6WzPM,拦,,,,
43883651,1635260174,efEMppK,"＞不拦<br />
<br />
你无意拦她，也无意目送她离去。只听得门吱嘎一声响，又咚地一下沉重地关闭。只剩你和你的恋人四目以对。<br />
<br />
往日宽敞温馨的、你二人的家，如今变得沉默而逼仄。她缩在被子里蜷成一团，短暂地与你对视又低下头去，似在发抖。<br />
<br />
各种玩具散乱地掉在床上地板上，一条麻绳横陈蜿蜒搭在床边像一条死去的蛇。离你最近的地板上掉着一对小巧精致的银色手铐，情趣款，闪着廉价金属的冷光。<br />
<br />
＞施与安抚<br />
＞施与禁锢<br />
＞施与压力",,,,
43883666,1635260190,lu6WzPM,1,,,,
43883737,1635260293,3778EaJ,3,,,,
43883884,1635260560,ELL7eKq,3,,,,
43883906,1635260590,efEMppK,"＞安抚<br />
<br />
这种时候施与安抚……难道是必要的吗？<br />
你挤出一个笑容来，也许这个笑比哭还难看。<br />
<br />
“……她已经走了。”你说，“没事了……”<br />
你靠近她，轻轻把她拥在怀里。你仰起头，不敢再看她到眼睛，你怕在她眼里看到任何愧疚与歉意。<br />
<br />
啊，太痛苦了，简直快疯掉了。<br />
<br />
她似乎想要说什么，却最终还是缄默不言，只是轻轻抓住了你的手臂。<br />
<br />
你泪如雨下。<br />
<br />
<br />
……<br />
＞假若无事<br />
＞平静追问<br />
＞心如死灰",,,,
43883926,1635260629,zACjSnV,1,,,,
43884190,1635261057,efEMppK,"＞假若无事<br />
<br />
生活还在继续。<br />
正如人无法亲手剖出自己的肋骨，你也同样无法放弃她。<br />
<br />
你收拾了一地的旖旎残局，收拾自己的被褥去了书房。她抓着你的袖子不让你走，被你一根、一根地拂开手指，拒绝了。<br />
<br />
她说：“对……”<br />
你扣住了她的手。<br />
“不要说对不起。”你听见自己从喉咙挤出哀鸣来，“求求你。”<br />
<br />
<br />
睡不着的夜晚。<br />
……你听到门口有响动。<br />
<br />
一尾r<br />
1-5 她进来了<br />
6-0 她放弃了",,,,
43884222,1635261098,VLrmvg7,r,,,,
43884708,1635261823,efEMppK,"＞是她<br />
<br />
她敲了门，你当然没开。你反锁了，但她硬是从哪里找到了书房的钥匙，现在她站在你面前咬着嘴唇，一袭白色睡衣在月光下皎洁到刺眼。<br />
<br />
……就像那天你们去影楼合拍的婚纱照那样美。<br />
<br />
她柔软的黑发蜷曲着披在背上，捏着裙摆，一言不发。<br />
<br />
“你想说什么呢？”<br />
你感觉疲惫。<br />
<br />
“我……”<br />
<br />
“道歉的话，就请回吧。”<br />
你失去了耐心。<br />
<br />
出乎你意料的是，她把你扑倒在地板上，黑发迤逦在木质地板上，像只失魂落魄的水鬼。<br />
<br />
“……来抱我吧。”<br />
她在你耳边请求。<br />
<br />
<br />
＞接受<br />
＞婉拒",,,,
43884717,1635261841,iTfcUW7,1,,,,
43884729,1635261859,iTfcUW7,好阴间哦|∀ﾟ,,,,
43884872,1635262079,efEMppK,"＞接受<br />
<br />
你抚摸她的长发。<br />
你不想问了。<br />
<br />
回应你的是一片濡湿的热情。<br />
<br />
<br />
……<br />
＞温柔地<br />
＞强硬地<br />
＞粗暴地",,,,
43884947,1635262165,efEMppK,"<font color=""#789922"">&gt;&gt;No.43884729</font><br />
(〃∀〃)",,,,
