refId,atShard
37360682,0
37361442,0
37362232,0
37362486,0
37364181,0
37364535,0
37366752,0
37387098,0
37387549,0
37387561,0
37388220,0
37390719,0
37395375,0
37395444,1
37395454,1
37395486,1
37421501,1
37423270,1
37456894,2
37456947,2
37456966,2
37456971,2
37457132,2
37486242,2
37489482,2
37489513,2
37490379,2
37493011,2
37493675,3
37498513,3
37502614,3
37503394,3
37506276,3
37514173,3
37517212,3
37533033,3
37548865,3
37573205,3
37624421,3
37626879,3
37674450,4
37674495,4
37675549,4
37678704,5
37693947,5
37811259,6
38200667,9
38316126,10
38369344,11
38474298,12
38530412,12
38603255,13
39085327,16
39274720,20
39275588,20
39284919,20
39284965,20
39315652,21
39406517,22
39410718,22
39587237,24
39587248,24
39604686,25
39605082,25
39608764,25
39608860,25
39617577,26
39648472,27
39670997,27
39824651,29
39893555,31
39899368,31
40015399,32
40100000,33
40113797,34
40225288,35
40225322,35
40225666,35
40226000,35
40228407,35
40335136,36
40343164,36
40343166,36
40343200,36
40343211,36
40405942,39
40424944,39
40427921,39
40427948,39
40465774,40
40465917,40
40591405,41
40805961,43
40806500,43
40806600,43
41446010,48
41446605,48
41446666,48
41874731,50
41877000,50
41906999,50
41908333,50
41908368,50
41946733,51
41946833,51
41948222,51
42229855,51
42229866,51
42231111,51
42398353,51
42398547,51
42749255,52
42988288,53
42988300,53
42991222,53
43662015,58
43734901,58
44181480,61
44322659,63
44401116,64
44401202,64
44408119,65
44528081,66
44589996,67
44624533,68
44624599,68
44628361,68
44661833,69
44661899,69
44806649,71
45097695,73
45495420,74
45956906,77
46705379,78
46782885,79
46782900,79
46782970,79
46783004,79
46946022,81
47020056,82
47280881,83
47282393,83
47419347,84
47843400,87
47843555,87
48252860,89
48454888,90
48455576,90
48515888,91
48823354,93
