id,created_at,user_id,content,attachment_base,attachment_extension,title,name
45647207,1639315421,pWq0KBD,不灌，先坠一会,,,,
45647261,1639315476,1o36RQQ,"不灌了吧( ﾟ∀。)<br />
字里行间写的满满都是致敬<br />
怪鸽要不r一下，空间站的人能不能幸存？",,,,
45647312,1639315536,VthGxGS,"<font color=""#789922"">&gt;&gt;No.45647261</font><br />
( ﾟ∀。)所以幸存多少人呢？<br />
1-3 团灭<br />
4-6 三分之一<br />
7-9 一半<br />
0 全员幸存",,,,
45647366,1639315606,pWq0KBD,r,,,,
45647377,1639315627,1o36RQQ,"<font color=""#789922"">&gt;&gt;No.45647366</font><br />
肥哥好r！！ ﾟ∀ﾟ)σ",,,,
45647380,1639315631,pWq0KBD,"<font color=""#789922"">&gt;&gt;No.45647366</font><br />
好耶，全员飞鸟信是吧( ﾟ∀。)",,,,
45647390,1639315646,pWq0KBD,"<font color=""#789922"">&gt;&gt;No.45647366</font><br />
<font color=""#789922"">&gt;&gt;No.45647377</font><br />
顺便223了",,,,
45647405,1639315665,VthGxGS,( ﾟ∀。)7这，这tm也是一种致敬,,,,
45647824,1639316181,VthGxGS,"两颗陨石精准贯穿了空间站的左翼！<br />
<br />
“引擎输出功率下降！80%……72%……66%……！”<br />
“不行，再这样下去空间站就要向着地球坠毁了！”<br />
<br />
“不好，空间开始朝着地球坠落了！”<br />
<br />
“动力呢？动力装置不能再支持一下吗？”<br />
<br />
“已经不行了！空间站系统瘫痪70%，左翼动力装置全部停止运行！”<br />
<br />
“右翼动力装置超负荷运行！”<br />
<br />
“核心区域系统出现故障——站长，这艘空间站……已经保不住了！”<br />
<br />
“可恶……！”<br />
“这可是守护地球的空间站，怎么会在敌人还没来到之前，这么轻易就被毁掉……”<br />
<br />
中岛站长狠狠拍案而起，他不甘地深吸一口气，不得不下达了最后的撤离指令——<br />
<br />
空间站正朝着地球坠毁，在全部人员成功撤离的那一刻，它终于进入了大气层，在剧烈的摩擦下冒出了赤红色的火光——<br />
<br />
空间站判定<br />
1-3 炸了( ﾟ∀。)<br />
4-6 坠落<br />
7-9 击毁<br />
0 城市……(|||ﾟдﾟ)<br />
<br />
反派判定<br />
1-6 看戏(　ﾟ 3ﾟ)<br />
7-9 正在移动……<br />
0 有些可惜",,,,
45647853,1639316213,pWq0KBD,r,,,,
45647890,1639316252,pWq0KBD,"<font color=""#789922"">&gt;&gt;No.45647853</font><br />
这样最好了，直接烧干净了也炸不到人( ﾟ∀。)",,,,
45647910,1639316273,S0hLxgB,r,,,,
45648276,1639316710,VthGxGS,"强烈的大气摩擦带来的高温，点燃了空间站左翼破损的空洞！<br />
<br />
高空之上，赤红色的空间站达到了极限。内部劈啪作响的糟糕声音汇集成了剧烈的爆炸声，几乎是在一个呼吸之间，88米宽的宇宙空间站就变成了爆炸的烟花，燃烧的残骸正顺应着地心引力的影响，高速下坠——<br />
<br />
“啊啊，真是可惜。”<br />
<br />
使用着人类拟态的木什正站在山顶，欣赏着这一场“巨型烟花”：<br />
“里面一个人也没有，还真是可惜。”<br />
“人类的逃生技术还是这么的强——不管怎么样的危险，他们都能找到生存的途径……”<br />
<br />
“是这样吧，泽朗星人？”<br />
<br />
反派小弟一号判定<br />
1-3 肯定<br />
4-6 ……不祥的预感<br />
7-9 怂，怂了<br />
0 ( ;ﾟдﾟ)请您原谅我，木什大人",,,,
45648353,1639316824,pWq0KBD,r,,,,
45648523,1639317059,pWq0KBD,"<font color=""#789922"">&gt;&gt;No.45648353</font><br />
是没眼力见的反派( ﾟ∀。)",,,,
