id,created_at,user_id,content,attachment_base,attachment_extension,title,name
38259282,1621904023,NNhjou8,起汉大军即将繁殖(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ,,,,
38259344,1621904167,bb82mcm,"他点了点头。<br />
…然后，没有再说其他的。你不知道他是否知道你说的是什么，但…总之，答应了就是好事吧…？<br />
虽然现在在辽阔平原没办法做饭，但总之之后再回理想乡大概也不迟。<br />
沉默的气氛蔓延着。君主只是安静地看着你，没有催促你，也没有说话。<br />
你也许可以考虑做些什么或者再聊些什么…<br />
自定义。",,,,
38259366,1621904222,bb82mcm,君主:(・ω・),,,,
38262023,1621909714,8282247,这怎么聊( ›´ω`‹ )聊聊龙帝？,,,,
38262127,1621909927,OgHTvTd,(`ε´ )问问他有没有关系好的同事，整点八卦提好感度,,,,
38263373,1621912441,bb82mcm,"等一个fy(　ﾟ 3ﾟ)<br />
不过君主其实适合听不太适合说",,,,
38263929,1621913411,4lbKPTG,"(*´д`)又陷入见芳香的循环了，只不过这次连反驳都没有，你们怎么都这么不好攻略.jpg<br />
要不要说说自己来这里发生的一切，只适合倾听不会太发表意见的君主活像个午夜情感电台啊( ﾟ∀。)",,,,
38264029,1621913598,bb82mcm,"<font color=""#789922"">&gt;&gt;No.38263929</font><br />
这么理解是没问题的，他不只能听你说，还能守口如上了死锁的保险箱.jpg<br />
不过不需要说服他什么就是了(　ﾟ 3ﾟ)君主脾气很好，而且也不怎么在意很多事情，不像芳香那么难搞",,,,
38264099,1621913727,bb82mcm,"<font color=""#789922"">&gt;&gt;No.38263929</font><br />
那么要按照这个来吗？可以选一段重点讲。",,,,
38264893,1621915136,4lbKPTG,ᕕ( ᐛ )ᕗ那讲讲我们是怎么和究v认识的，就是指和阿别友情交叉破颜拳啦･ﾟ( ﾉヮ´ )还可以给他看看新补的牙,,,,
38264945,1621915207,2vPliBQ,"君主是喜欢能打和意志强悍的家伙，那不就是我们小沙耶吗.jpg<br />
别人：没有什么是完美的<br />
我:拍出小沙耶海报",,,,
38265031,1621915366,bb82mcm,"整个活，小沙耶说书能力(　ﾟ 3ﾟ)<br />
1-0<br />
到0就可以去理想乡出摊说书了。",,,,
38265106,1621915492,2vPliBQ,"让我来ᕕ( ᐛ )ᕗ话说这个没有保底，有点怕啊<br />
r！",,,,
38265130,1621915528,2vPliBQ,还能，能完整说书了,,,,
38265279,1621915833,2vPliBQ,"<font color=""#789922"">&gt;&gt;No.38265130</font><br />
<font color=""#789922"">&gt;&gt;No.38265106</font><br />
⊂彡☆))д`)为什么不是这两个换一下",,,,
38265310,1621915869,bb82mcm,･ﾟ( ﾉヮ´ ),,,,
38271539,1621927675,bb82mcm,"你想了想，反正也闲着没事，这家伙看着也不像会好好交流的样子——于是你决定问问他想不想听你随便说说最近发生的事情。<br />
在他的默许下，你从自己怎么遇到尤里一直说到你怎么到这里，甚至还着重讲了你和究V的相识过程。理所当然的，前提是先和别西卜互殴了一顿，而君主似乎对这段格外感兴趣，在听的时候格外认真。<br />
那么，他的反应？<br />
1-3 继续听<br />
4-9 伸出拳头好像想打一架<br />
0 让你再说一遍",,,,
38271960,1621928144,4lbKPTG,r,,,,
38271998,1621928187,4lbKPTG,听戏上瘾了还行･ﾟ( ﾉヮ´ ),,,,
38272012,1621928204,bb82mcm,"安可･ﾟ( ﾉヮ´ )<br />
这次水平发挥怎么样？<br />
6-0",,,,
38272076,1621928274,4lbKPTG,"安可安可<br />
r",,,,
38272092,1621928292,4lbKPTG,･ﾟ( ﾉヮ´ )一如既往地稳定啊，沙耶,,,,
38272396,1621928648,bb82mcm,"“可以再来一遍吗？”<br />
在你讲完拍拍手准备起来的时候，君主出声了。和你想象中的不同，他并没有评价你的经历本身，而是希望再来一遍。<br />
…啊？难得说这么长一句话还带让人安可的？你诧异地看着白龙，但他只是偏了偏头，向前曲折的角在阳光下反射出光芒。<br />
你想了想，还是决定问问他点别的——<br />
“可以是可以，但你具体对哪段感兴趣啊…？一下子全安可的话讲不过来。”<br />
君主倒也没怎么在意你的措辞，在你问完后就立刻给出了回答。<br />
“别西卜。”<br />
…好，话又少了。你调整坐姿再讲了一次，君主仍然听得很认真，并且在你讲完后非常肯定地对你点了点头。<br />
对不起我希望你跟我再说点话谢谢。<br />
你面无表情地想。<br />
这次他有其他反应吗？<br />
1-7 对你伸出拳头<br />
89 好像想去找金属了<br />
0 “过于鲁莽，但是结果不错。”",,,,
38272507,1621928786,2vPliBQ,r,,,,
38272585,1621928875,2vPliBQ,"听人说完书之后又要跟说书人打上一架･ﾟ( ﾉヮ´ )<br />
开个玩笑话，君主你放在老北京会被茶楼列为禁止进入的对象的",,,,
