id,created_at,user_id,content,attachment_base,attachment_extension,title,name
36759785,1618279942,bb82mcm,"<font color=""#789922"">&gt;&gt;No.36759672</font><br />
10<br />
第一个道馆的话有个一段进化会比较保险(　ﾟ 3ﾟ)等级差不多的话也可以就是了。<br />
稍等，po这就开始编.jpg",,,,
36759916,1618280203,bb82mcm,"*科素亚没有急着赶你们走。鸣人似乎暂时留下来帮忙了，让你先去忙你的事情。<br />
你决定先训练宝可梦，为开幕式之后正式开始的联盟赛做准备。<br />
考虑到海东的练度，你打算对它进行特训。<br />
那么——会有特殊事件发生吗？<br />
1-6 没有<br />
7-9 好像捡到了什么东西<br />
0 有什么来了",,,,
36760033,1618280458,UonhQFD,r,,,,
36760079,1618280589,bb82mcm,"稳定的无事发生。<br />
1-8 升一级<br />
9 升二级<br />
0 升三级！(ノﾟ∀ﾟ)ノ",,,,
36760095,1618280635,bb82mcm,"这么说的话除了特别指定不能灌的，其他基本上都能灌，包括升级选项。<br />
所以看上哪个选项直接灌就是了(　ﾟ 3ﾟ)。",,,,
36762791,1618285356,IX5E497,r,,,,
36762970,1618285760,bb82mcm,需要灌吗？不灌也没事，还有四天(　ﾟ 3ﾟ),,,,
36763044,1618285921,IX5E497,不灌(　ﾟ 3ﾟ),,,,
36763372,1618286536,gaCCh3v,慢慢来吧，我记得开幕式还不用打来着（不碰到劲敌）,,,,
36763679,1618287160,bb82mcm,"开幕式只要骰点不是特别非就不会遇到需要对战的劲敌(　ﾟ 3ﾟ)<br />
鸣人是队友，如果没有入队的话会在开幕式相遇<br />
因为鸣人入队了所以有新的劲敌在上线中(　ﾟ 3ﾟ)",,,,
36763767,1618287352,bb82mcm,"训练稳扎稳打，海东变强了一些，它看起来很开心。<br />
海东的亲密度上升了。<br />
目前的练度:<br />
王小明(百变怪，lv9.5)<br />
海东(泪眼蜥，lv9.5)<br />
剑崎(拉鲁拉丝，lv9.5)<br />
栗子球(哈力栗，lv6)<br />
流星(炎兔儿，lv10.5)<br />
莲(藤藤蛇，lv10.5)",,,,
36763854,1618287502,bb82mcm,"忙碌的上午过去了。你和宝可梦们为了开幕式和之后的旅程做着准备，不知不觉就到了午餐时间。天气晴朗，看起来一切都很好。<br />
会遇到什么事件吗？<br />
1 路边有什么宝可梦…<br />
2-8 无事发生<br />
9 好像有受伤的宝可梦…？！<br />
0 透明的——",,,,
36763973,1618287751,IX5E497,r,,,,
36763994,1618287802,IX5E497,"<font color=""#789922"">&gt;&gt;No.36763973</font><br />
要不灌个0吧(;´Д`)",,,,
36764020,1618287873,bb82mcm,"等一个fy<br />
特典的宝可梦不会跑的放心吧(　ﾟ 3ﾟ)只是攻略时间问题罢了",,,,
36764060,1618287957,gaCCh3v,不用灌吧感觉，神兽攻略太快了也有点别扭,,,,
36764147,1618288151,YEAVJAJ,"<font color=""#789922"">&gt;&gt;No.36764060</font>",,,,
36764326,1618288553,bb82mcm,"无事发生，你抱着不肯进球的莲颠儿颠儿跑回饲育屋。虽然只是暂住，但你莫名其妙生出一种“暂时的家”一样的感觉——可能是因为在外面露营太要命了，你们俩搭帐篷的技能丢人到只能靠宝可梦救一把，只有厨艺是能看一点的。<br />
刚一进屋，你就闻到了熟悉的香味…是鸣人做的咖喱的味道！这让你肚子里的馋虫蠢蠢欲动。<br />
你到的时间刚好，鸣人和科素亚刚做完饭。在科素亚的监督下，你忍住想直接开始吃饭的念头，乖乖去洗完手才开始吃饭。",,,,
36764337,1618288568,bb82mcm,"暗骰一下。<br />
本条自r。<br />
1-0",,,,
36764461,1618288853,bb82mcm,"你注意到原本由科素亚照顾的蛋莫名其妙跑到了鸣人那里——而鸣人身上也围上了和科素亚一样的围裙，看来他的确帮上了忙，甚至还被委任为照料蛋的临时工。<br />
科素亚的围裙里多了个新的蛋。<br />
吃饭的时候，你们随便聊了聊关于照顾宝可梦的话题。看起来就这个话题，鸣人和科素亚更有聊头你只好一边撸蛇一边吃饭，顺便偷偷塞一口咖喱给莲。<br />
午后，你出于免费蹭住的谜之负罪感找到科素亚。<br />
“请问有什么可以帮忙的吗？”<br />
科素亚的脸上露出了微妙的表情。<br />
…你不太清楚那是什么表情，但这个表情让你想到了电视剧里的黑商。<br />
“饲育屋正好缺人，当然有你可以做的事情。那么小轰——你想试试看…”<br />
1-3 打扫屋子<br />
4-6 照顾被委托的宝可梦<br />
7-9 打扫宝可梦们的居所<br />
0 当然是照顾蛋啦！",,,,
36764469,1618288876,gaCCh3v,r,,,,
36764618,1618289194,bb82mcm,"“你想试试看打扫宝可梦们的居所吗？现在它们应该不在屋子里，你可以趁机去打扫打扫，反正我之前照顾的蛋有鸣人照顾了，而且也没有其他需要照料的蛋。”<br />
科素亚把扫把之类的扫除工具塞到你手里，看起来好像不打算给你拒绝的余地。还没等你说什么，她就旋风一样离开了，似乎往屋外的方向走了。<br />
是要带蛋晒晒太阳吗？你想。<br />
那么——你拿到了扫除工具。<br />
一尾需要扫除的环境。<br />
12 草系的房间<br />
34 看起来没什么特别的<br />
56 火系的房间<br />
78 看起来是格斗系的房间？<br />
90 水系(|||ﾟдﾟ)<br />
二尾清洁度。<br />
1-0<br />
越大越好。<br />
三尾有没有宝可梦自愿来帮忙。<br />
1-6 有<br />
7-9 没有<br />
0 全员帮忙…？！(ﾟДﾟ≡ﾟДﾟ)",,,,
36764638,1618289241,gaCCh3v,r,,,,
36764647,1618289261,YEAVJAJ,r,,,,
36764666,1618289315,8HFLkIQ,r,,,,
36764676,1618289332,8HFLkIQ,"<font color=""#789922"">&gt;&gt;No.36764666</font><br />
哦豁",,,,
36764699,1618289393,bb82mcm,"<font color=""#789922"">&gt;&gt;No.36764666</font><br />
铅骰+1=14( ﾟ∀。)",,,,
36764760,1618289539,bb82mcm,"有谁来帮忙呢？<br />
1 王小明<br />
2 海东<br />
34 剑崎<br />
5 栗子球<br />
67 莲<br />
89 流星<br />
0 科素亚的宝可梦…？",,,,
36764777,1618289577,gaCCh3v,r,,,,
36764786,1618289594,gaCCh3v,"<font color=""#789922"">&gt;&gt;No.36764777</font><br />
？( ﾟ∀。)",,,,
36764813,1618289660,bb82mcm,"<font color=""#789922"">&gt;&gt;No.36764777</font><br />
。。。？<br />
+1 15",,,,
36764828,1618289680,bb82mcm,( ﾟ∀。)有希望冲一下20个铅骰吗,,,,
36764851,1618289728,gaCCh3v,666777都有了，888也来一个呗,,,,
36764870,1618289781,eHdeHm5,我来试试,,,,
36764905,1618289866,bb82mcm,"-8<br />
-7<br />
-7<br />
你拿着扫把，踢踢踏踏来到科素亚指定的宝可梦小屋。这看起来像是格斗系宝可梦的房间…？里面有拳击沙袋，也有适合锻炼的器具，条件很好，只是因为地上有不少宝可梦留下的痕迹和弄乱的草叶，所以看起来有点脏。<br />
莲主动凑过来要求帮忙。虽然你很怀疑它的小身板能干什么，不过它愿意帮忙是一件好事。它用藤鞭帮你拿着簸箕。<br />
这个房间看起来有宝可梦住吗？一尾。<br />
1-7 有<br />
89 没有<br />
0 好像有血迹……………？<br />
有刀痕或者其他的东西吗？二尾。<br />
1-5 无事发生<br />
6-8 好像有什么划过的痕迹…<br />
90 有拳击墙壁的痕迹。",,,,
36764906,1618289866,8HFLkIQ,r,,,,
36764914,1618289886,gaCCh3v,r,,,,
36765006,1618290087,bb82mcm,"无事发生——看起来没有什么性格凶暴的宝可梦住在这里，毕竟你没有看到小屋被破坏的痕迹，也没有看到什么不好的东西。这里看起来是有宝可梦居住的，地上并没有太多灰尘。大概是看这里情况还好，所以(疑似)有点洁癖的莲才会主动要求帮忙吧。<br />
r一下清扫技能。一尾小轰二尾莲，有一个<font color=""#789922"">＞3</font>就清扫成功。",,,,
36765072,1618290197,gaCCh3v,r,,,,
36765083,1618290231,8HFLkIQ,"<font color=""#789922"">&gt;&gt;No.36765072</font><br />
你看这个小轰就是逊啦σ`∀´)",,,,
36765087,1618290241,bb82mcm,小轰(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ,,,,
36765093,1618290247,8HFLkIQ,"<font color=""#789922"">&gt;&gt;No.36765083</font><br />
( ・_ゝ・)",,,,
