id,created_at,user_id,content,attachment_base,attachment_extension,title,name
49035117,1645674310,dze6hqv,"［团主24小时］［武侠接龙第四棒］<br />
【百合】【番外——也就是说团和系列的主角没什么关系】<br />
壬日已过，开始数九。叶良辰连日练武在屋里圈得有点心焦，借了客栈一匹瘦马在扬州郊区向着北方慢慢走着散心。<br />
天上阴云密布，很快下起了雪，马蹄“咯吱咯吱”踩着雪前进。走了一会，他突然看到有一行脚印向东延伸。<br />
犹豫了一下，他策马向着那个方向奔去。",,,,
49035129,1645674331,dze6hqv,"企划/讨论串<br />
<font color=""#789922"">&gt;&gt;No.48860742</font><br />
 上一棒<br />
<font color=""#789922"">&gt;&gt;No.48981559</font>",,,,
49035280,1645674623,dze6hqv,"“这就是我家。”老妪对他微笑，轻轻推开了竹扎的院门。<br />
叶良辰翻身下马，把马栓到栅栏上，跟着老妪走进了庭院内。<br />
院子里有着两棵已经掉光了叶子的高大乔木，其中一棵树下摆着一张圆桌和面对面的一对石凳。<br />
“相逢即是有缘，要不要听听老姑婆我年轻时的故事？”老妪从屋子里拿出了一对茶杯和一罐蜂蜜，从灶台上拿起热茶壶将温茶倒进茶杯中，向每个杯子里倒了一勺蜂蜜，又盖上盖子。<br />
-听<br />
-[h]当然不会[/h]不听",,,,
49035338,1645674738,c7KplxH,听,,,,
49035367,1645674786,5pIIUWx,･ﾟ( ﾉヮ´ ),,,,
49035648,1645675326,dze6hqv,"四十年前，扬州城内有一对手帕交。一方是太平镖行老板的独女，一方是老镖师被贼人杀害后留下的遗腹子孤女。<br />
独女我们暂且称她为玉叶，孤女我们便称她为荆枝。<br />
荆枝和玉叶从小一起长大，因为大人大多忙于江湖事务无暇看管抚育，只教她们课余在一处厮混，所以二人关系较寻常的亲生姐妹相比还要亲厚。<br />
也说不准什么时候开始，荆枝对手帕交的亲爱渐渐变了质，整日整夜地想要是能如她们在一处顽时一样，最终由玉叶来做她的夫该多好。<br />
那么她的痴妄有什么结果呢？<br />
1-3被长辈发现<br />
4-9与玉叶互通心曲<br />
0玉叶芳心暗许",,,,
49035655,1645675345,7hypyIV,r,,,,
49035714,1645675471,5pIIUWx,r,,,,
49036030,1645676044,dze6hqv,"<font color=""#789922"">&gt;&gt;No.49035655</font><br />
她们二人的关系确是亲近，连痴愚都碰到了一起去。玉叶也早就已经想过这个问题，她也希望能与荆枝而不是一个陌生的男人共度余生。<br />
妾有情妾也有意，到底没过多久就挑明了暧昧。虽说是二位姑娘独自长大不懂夫妻情事，也照着戏文和见到的那些夫妻一样，像模像样地开始同吃同住，夸赞彼此的容貌。但是这与她们往常的生活也差不多，所以也没有引起什么波澜。<br />
随着时间的推移，二人也都到了成年该婚配的时候，那么有发生什么事呢？<br />
1-3有媒人上门说媒<br />
4-9玉叶的武功大有进境<br />
0玉叶移情别恋",,,,
49036126,1645676190,0lVczLY,r,,,,
49036140,1645676207,5pIIUWx,r,,,,
49036144,1645676209,thdhjcl,r,,,,
49036233,1645676346,0lVczLY,不许1 3,,,,
49041805,1645685119,dze6hqv,(つд⊂),2022-02-24/6217294f21eab,.jpg,,
49048868,1645696579,ANFuL4y,( ﾟ∀。)不更了吗,,,,
49049182,1645697079,dze6hqv,"<font color=""#789922"">&gt;&gt;No.49048868</font><br />
居然有人催更，那我收拾收拾继续( ﾟ∀。)9",,,,
49049582,1645697757,dze6hqv,"<font color=""#789922"">&gt;&gt;No.49036126</font><br />
太平镖行当家的与其说是买命的老板，不如说是手下镖师们的半师。而这一紧密关系的基础就是太平镖行祖上传下来的一本秘籍。虽说当家的不会把全部内容倾囊相授，指缝间漏出的一招半式也足以让旗下镖师在如无意外的情况下倚以傍身。<br />
玉叶从小便修习这份秘籍。虽说她的天赋称不上惊才绝艳，但与一般人比起来资质也是上上。日复一日的勤学苦练中，玉叶的武功进境又上了一个高度。<br />
当家的得知消息后，没有犹豫就将上门说媒的媒人请走。他示意玉叶可以由她心意选夫婿入赘。玉叶虽不敢直说与荆枝的情意，也旁敲侧击了荆枝的情况。欣喜之下当家的也允诺荆枝的婚事可以由玉叶安排。<br />
1-3镖局新招镖师<br />
4-9荆枝自请走镖<br />
0有人打上门来",,,,
49049822,1645698194,bhmPEks,r,,,,
49049950,1645698366,ANFuL4y,r,,,,
49051486,1645700685,7hypyIV,gkdᕕ( ᐛ )ᕗ,,,,
