id,created_at,user_id,content,attachment_base,attachment_extension,title,name
40433511,1626952284,7On6kzJ,"上半年度高质量团总结投票！<br />
<br />
无论是什么东西，想记一整年都是很难的，即使是好团。<br />
一年评选一次好团太迟，趁着这个机会，大家一起来回忆一下你上半年最喜欢的团吧！<br />
任何人都可以把他们认为 质量高 的团的连接发上来。允许自荐，但一定要有连接！<br />
（串号或网址皆可，但是请不要写如xxx三部曲，yyyy所有的团这类的东西。否则没法统计。）<br />
<br />
要求：开团时间为2021年1月1日0:01至2021年6月30日11:59，完结状态与时间不限<br />
如果是在6月30至7月22日之间开的团，请牢记这个团，然后在年终时把你宝贵的一票投给它(ゝ∀･)<br />
	<br />
2021年7月26日晚11：59截止投票<br />
禁止刷票哦<br />
<font color=""blue"">*完结*</font>",,,,
40433535,1626952320,dze6hqv,前排,,,,
40433585,1626952418,FPI6J03,( ﾟ∀。)等会挂在机制讨论上,,,,
40433670,1626952589,9cCVW2z,"我直接前排进行不要脸的自荐！   https://adnmb.com/t/38681574<br />
<br />
 <font color=""#789922"">&gt;&gt;No.38681574</font><br />
<br />
时间尽头的少女，一周目完结(=ﾟωﾟ)=<br />
<br />
 pl人数很少，更新很慢，互动很奇怪，可读性很差，但团还是自家的好(つд⊂) 反正我喜欢的团必然不差我这一票，我就投给自己啦( ﾟ∀。)",,,,
40433679,1626952610,rnnsjZY,"估计都会在长团那边吧<br />
短团都记不住了",2017-04-13/58ef1cc3053a7,.png,,
40433697,1626952645,dze6hqv,"<font color=""#789922"">&gt;&gt;No.39414100</font><br />
<font color=""#789922"">&gt;&gt;No.37772994</font><br />
<font color=""#789922"">&gt;&gt;No.37656518</font><br />
<font color=""#789922"">&gt;&gt;No.40422561</font><br />
<font color=""#789922"">&gt;&gt;No.37293417</font><br />
<font color=""#789922"">&gt;&gt;No.37853170</font><br />
先来这些，睡前我会再放上来一些我的票( ﾟ∀。)",,,,
40433721,1626952689,1JV2PxE,"今年啊，目前为止沐雨集吊打所有<br />
<font color=""#789922"">&gt;&gt;No.33573064</font><br />
所以后日谈呢( `д´)",,,,
40433722,1626952689,dze6hqv,"<font color=""#789922"">&gt;&gt;No.40433670</font><br />
自荐不太好吧( ﾟ∀。)",,,,
40433741,1626952734,s3Ram05,"<font color=""#789922"">&gt;&gt;No.39005161</font> WNS0.20<br />
<font color=""#789922"">&gt;&gt;No.39212465</font> WNS0.24<br />
<font color=""#789922"">&gt;&gt;No.34490833</font> 生命团<br />
<br />
不要脸自推来了ᕕ( ᐛ )ᕗ",,,,
40433744,1626952743,9cCVW2z,"<font color=""#789922"">&gt;&gt;No.40433722</font> <br />
反正允许自荐嘛(　ﾟ 3ﾟ) 就想打打广告",,,,
