id,created_at,user_id,content,attachment_base,attachment_extension,title,name
46448026,1640958065,7On6kzJ,"2021年度高质量团总结投票！<br />
<br />
参与条件：<br />
开团时间为2021年1月1日0:01至2021年12月31日11:59的团，完结状态与时间不限<br />
所以还有两个多小时可以开团，想抓住今年的尾巴的话，可以现在开哦(ゝ∀･)<br />
<br />
截止时间：<br />
未定，预计为搜索修好后一周",,,,
46448040,1640958084,7On6kzJ,"规则：<br />
允许自荐，但一定要有连接！无效连接不会被统计。<br />
（串号或网址皆可，但是请不要写如xxx三部曲，yyyy所有的团这类的东西。否则没法统计。）<br />
<br />
每人投票票数不限，但禁止刷票。<br />
<br />
最终统计时会使用团的名字，如果团主/玩家对团有偏好的称呼，可以在投票时备注。如果没有的话会用串首里的内容随机取名。",,,,
46448057,1640958102,7On6kzJ,"附录：<br />
前数次大赛连接：<br />
<font color=""#789922"">&gt;&gt;No.43766488</font><br />
<br />
今年部分测试版团索引，如果有遗漏请务必补充<br />
电波系测试版团<font color=""#789922"">&gt;&gt;No.35369273</font><br />
便利店之旅<font color=""#789922"">&gt;&gt;No.35825147</font><br />
在测试版逛街<font color=""#789922"">&gt;&gt;No.36471715</font><br />
网络侦探<font color=""#789922"">&gt;&gt;No.39235442</font><br />
红名港<font color=""#789922"">&gt;&gt;No.39599504</font><br />
一个24h创作挑战的测试版团<font color=""#789922"">&gt;&gt;No.33523314</font><br />
挖矿团<font color=""#789922"">&gt;&gt;No.35364160</font><br />
樱畔真理的幻想工程<font color=""#789922"">&gt;&gt;No.35755447</font><br />
记录之海的彼岸<font color=""#789922"">&gt;&gt;No.41069565</font>",,,,
46448125,1640958190,qwpB21d,已经，回不去了……（指变成鸽子）,,,,
46448245,1640958347,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.43267527</font><br />
( ﾟ∀。)/为奇怪的异世界献上祝福，某个团主最后的多人团",,,,
46448275,1640958405,FPI6J03,( ﾟ∀。)印象也没开过什么好团，就不自荐了。,,,,
46449158,1640959525,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.37437555</font><br />
( ﾟ∀。)/金鱼团",,,,
46449958,1640960521,8aB1imC,"<font color=""#789922"">&gt;&gt;No.43267527</font><br />
我先丢一个多人团在这里( ﾟ∀。)/",,,,
46450241,1640960897,ANFuL4y,"<font color=""#789922"">&gt;&gt;No.46448245</font><br />
<font color=""#789922"">&gt;&gt;No.46449958</font><br />
我来组成第三票(｀･ω･)",,,,
46450382,1640961056,92rLaAZ,"<font color=""#789922"">&gt;&gt;No.46450241</font><br />
ᕕ( ᐛ )ᕗ我来组成第四票",,,,
