id,created_at,user_id,content,attachment_base,attachment_extension,title,name
42745437,1632394369,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.42745218</font><br />
( ﾟ∀。)7我觉得鳗鱼吃起来太腻了",,,,
42745524,1632394517,hagztcP,"<font color=""#789922"">&gt;&gt;No.42745430</font><br />
还有一点是，在这个时间里，任何一个纯粹的人反而会被看作反常……很可能是好的，也有一定可能是不太好的意义上。<br />
<br />
假设有这么一个人，基本没有接触过任何现代娱乐产物，平时只是读诗、读经典文学、读专著，你会觉得这个人很正常吗……我有不止一个这样的朋友，画风就看起来……完全不一样。",,,,
42745542,1632394543,6G4W9wD,"<font color=""#789922"">&gt;&gt;No.42745430</font><br />
倘若他们真的在逻辑上并不统一呢？<br />
我在犹豫要不要继续说下去，因为我实际上也没有遇到过像我一样的人。<br />
我见的最多的就是模仿与被感染，但将一种思想与某一种特性强行嵌入自身的话，实际上是截然不同的。",,,,
42745544,1632394544,hagztcP,"<font color=""#789922"">&gt;&gt;No.42745381</font><br />
( ﾟ∀。)( ﾟ∀。)<br />
<br />
串号请求 ",,,,
42745557,1632394570,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.42745524</font><br />
难道是所谓的“千金小姐”(´ﾟДﾟ`)",,,,
42745578,1632394599,hagztcP,"<font color=""#789922"">&gt;&gt;No.42745542</font><br />
但是思想为什么会逻辑上不统一啊( ﾟ∀。)7”<br />
<br />
会出bug的，会死机的啊( ﾟ∀。)7” ",,,,
42745604,1632394631,hagztcP,"<font color=""#789922"">&gt;&gt;No.42745557</font><br />
有男性也有女性( ﾟ∀。)<br />
都长得…很白（？？） ",,,,
42745631,1632394687,6G4W9wD,"<font color=""#789922"">&gt;&gt;No.42745524</font><br />
实际上我很难表述清楚这件事，但我的确想要试着说明白。<br />
这并非纯粹与否的问题，而是…就这么说吧，这是不属于你的思想被强行（并自愿）嵌入你的思想中，当这样的行为次数变多后，这些东西就会彼此地，嗯…怎么说好呢。<br />
就这么说吧，在你的大脑里找了个地方展开了一场赛跑，哪个跑得快你在某次深入思考时就是它。",,,,
42745662,1632394731,hagztcP,"<font color=""#789922"">&gt;&gt;No.42745631</font><br />
你确定这不是病理性强迫心理的一种表现？(((　ﾟдﾟ)))",,,,
42745680,1632394756,6G4W9wD,"<font color=""#789922"">&gt;&gt;No.42745631</font><br />
而且或许是因为并未完全理解的原因，它们有很多是残缺（或片面）的，也就是说，若完整理论能够被人信服的话，从那人口中说出来就只是谬论，甚至自相矛盾。",,,,
