refId,atShard
32512983,0
32513250,0
32517020,0
33539690,0
33540519,0
34201558,1
34441984,1
34443303,1
34444071,1
34776793,2
35380729,2
35392257,2
39193747,5
39193928,5
39308399,6
39482193,7
39696129,8
40160520,9
40422561,10
40424347,10
40424376,10
40424401,10
40518213,11
40518234,11
40553455,11
40667259,12
40676062,12
40676764,12
40678107,12
40845447,13
40846817,13
40846824,13
40846843,13
40846854,13
40846875,13
40871864,14
40878643,14
40879370,14
40879508,14
40879612,14
40879624,14
40923672,15
40992482,15
40992511,15
40992543,15
41027936,16
41028344,16
41028408,16
41028531,16
41028545,16
41028556,16
41052822,17
41052877,17
41052905,17
41052907,17
41062245,18
41062308,18
41062340,18
41062347,18
41062355,18
41062357,18
41090754,19
41092652,19
41186158,20
41186162,20
41426362,21
41427328,21
42482549,22
42482565,22
44226758,23
44239314,23
