id,created_at,user_id,content,attachment_base,attachment_extension,title,name
40161705,1626356720,9cCVW2z,一转密教模拟器集中串･ﾟ( ﾉヮ´ ),,,,
40161757,1626356800,HAoTaWr,( ﾟ∀。)怎么我一回来就变密教串了,,,,
40161768,1626356817,FKxbfrY,"<font color=""#789922"">&gt;&gt;No.40160520</font><br />
一百小时吧，除了恋爱结局和DlC全成就达成",,,,
40161998,1626357148,FKxbfrY,"<font color=""#789922"">&gt;&gt;No.40161757</font><br />
我的锅我的锅，我下次不教了|∀` )",2021-07-15/60f03d9a0ab73,.jpg,,
40178342,1626407200,FKxbfrY,提问，沉浸团一般就不roll点决策了对吗？,,,,
40178438,1626407393,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.40178342</font><br />
( ﾟ∀。)沉浸团怎么个roll法，1-5走6-0不走这种吗",,,,
40178564,1626407638,HAoTaWr,"<font color=""#789922"">&gt;&gt;No.40178342</font><br />
( ﾟ∀。)通常不会，因为挺突兀和违背沉浸团本身的沉浸感的<br />
（此处指的是传统沉浸团或超沉浸团）",,,,
40178907,1626408200,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.40178342</font><br />
沉浸团一般就是“po主本人遇到了这事”<br />
大部分情况下你在现实遇到的事情，不会靠r点决定怎么做吧(　ﾟ 3ﾟ)",,,,
40178965,1626408282,rKWTfJD,"密教模拟器的文本真的很不错，我存了不少<br />
( ﾟ∀。)( ﾟ∀。)",,,,
40179078,1626408461,FKxbfrY,如果要开沉浸团的话，那就不需要在开头写【沉浸团】之类的标签对吧……？,,,,
40179110,1626408511,FKxbfrY,但这样的话，怎么保证不被误会错版呢……,,,,
40179129,1626408538,6G4W9wD,一般来说，沉浸团带有超现实元素。,,,,
40179138,1626408546,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.40179110</font><br />
( ﾟ∀。)其实一般都不会被误会的",,,,
