id,created_at,user_id,content,attachment_base,attachment_extension,title,name
43839172,1635161193,AxPkv3o,"【超短团大赛——投票评审环节】<br />
<br />
各位玩家们！<br />
经过无数团主与鸽子之神间旷日持久的搏命厮杀，现已有7位短团脱颖而出，幸存至下一环节！<br />
而现在——该轮到您来评判他们了( `д´)！<br />
<font color=""blue"">*完结*</font>",,,,
43839190,1635161218,RwuwyR4,gkd,,,,
43839213,1635161262,AxPkv3o,"@该怎么做？<br />
<br />
投票就行。<br />
我接下来会将所有晋级至下一环节的团一并放出，随后你们需要在这些团中挑选自己最心仪的一个(或多个)团回复来进行投票(推荐引用原团串号或本团内对应串号)。<br />
<br />
另外，为了保证A岛的匿名性，以及一些可能预见的麻烦，我建议大家不要用自己的常用饼干投票(这样也能多暴言两句不是)(　ﾟ 3ﾟ)<br />
<br />
@截至时间呢？<br />
<br />
不会太晚，但最早不会早于【10月27日的中午12:00】。如果到时候票数不足，我会再把投票环节延后。<br />
<br />
@一些杂项？<br />
<br />
1.本团的奖项设立，除了完全由玩家投票决定的【最佳短团】外，其余的都将由投票以及我个人作为主办方的评价酌情决定：<br />
<br />
<font color=""#789922"">&gt;&gt;No.43660611</font><br />
(虽然奖比团还多，但是也是有可能不够分的)<br />
<br />
因此黑幕成分满满(｀･ω･)<br />
<br />
2.为了推荐团，所以我会给团设计一些短评......我个人认为蛮画蛇添足的，很有可能会折损这些图本身的魅力。因此各位请一定要多点进团里看看，不要太注意我这个短评( ﾟ∀。)",,,,
43839228,1635161284,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43664726</font><br />
<br />
1.多周目传统团，极为侧重roll点。<br />
一名失去了孩子的父亲，一位失去了挚爱的妻子，在无限的时光中反复交错，一次又一次祈祷着奇迹。勇者与魔龙皆摇曳于此，直至最终的那一刻......",,,,
43839237,1635161306,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43666912</font><br />
<br />
2.临场发挥能力比较强的沉浸团。<br />
当抵达临界点后，终究还是崩溃了。<br />
就没有再寻回爱的方法了吗，博士？",,,,
43839244,1635161321,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43681436</font><br />
<br />
3.传统团，一个简短的甜甜小故事。<br />
母庸置疑，你已经认定了。今天就要成为你与她恋情的终点。<br />
为此，你一反常态，紧锣密鼓的筹划着——",,,,
43839254,1635161337,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43696612</font><br />
<br />
4.传统团，文笔与流程比较舒适，很有条理。<br />
绝望的三天后，魔王矗立在牲畜样的勇者旁。<br />
钢铁般的内心，也因魔王的话语而渐渐动摇。",,,,
43839265,1635161354,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43720977</font><br />
<br />
5.传统团，又一个百合甜甜小故事。<br />
颓废的作家小姐半卧沙发，手持酒罐，正向迷醉之神祈求着灵感......但却看到了意外的东西。<br />
轻飘飘的幽灵小姐，正好奇的看着她。",,,,
43839284,1635161379,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43781135</font><br />
<br />
6.多周目传统团，文笔和体验都很精悍有力。<br />
黑夜降至，你需做好准备。<br />
掺杂血腥的狼嚎仍久留于耳中，警醒着你——",,,,
43839296,1635161399,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.43745938</font><br />
<br />
7.传统团，具有复杂解谜要素的欢乐(团主语)推理团。<br />
被神秘白大褂忽悠瘸的你，强行绑在了几个按钮和一个大控制台前。<br />
据说只要按指示行动即可离开，但......",,,,
43839311,1635161431,AxPkv3o,——————就这些团，请投票吧——————,,,,
43839335,1635161481,XiHo0am,"<font color=""#789922"">&gt;&gt;No.43839265</font><br />
投最佳",,,,
