id,created_at,user_id,content,attachment_base,attachment_extension,title,name
28462359,1594687015,8elLSBY,我现在在警车上( ;´д`)可能要被带过去教育了,,,,
28462361,1594687021,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28462348</font><br />
( ﾟ∀ﾟ)发之前还没有刷新",,,,
28462367,1594687055,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462348</font><br />
他们说在一二点左右接到电话，找了我大半个晚上(;´Д`)",,,,
28462369,1594687061,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28462359</font><br />
(´ﾟДﾟ`)啊？为什么昨晚打的电话早上才来啊",,,,
28462380,1594687102,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462367</font><br />
( ﾟ∀。)平安就好，平安就好",,,,
28462391,1594687146,8elLSBY,( ;´д`)我会被关起来么，我害怕,,,,
28462439,1594687298,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462391</font><br />
( ﾟ∀。)……要不先联系下家里人看看能不能把你捞出来？",,,,
28462442,1594687310,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28462391</font><br />
|ー` )po别怕，又不是报假警博关注，你昨晚就是被关在旧教学楼才打110求助的",,,,
28462449,1594687326,1OGy5Uq,"<font color=""#789922"">&gt;&gt;No.28462367</font><br />
我刚回去翻了一下，昨天晚上打电话时间是23:51-23:53，但是110说一两点才接到电话？",,,,
28462456,1594687347,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462449</font><br />
对(;´Д`)",,,,
28462462,1594687371,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462442</font><br />
|-` )那我能没事么...",,,,
28462471,1594687393,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28462456</font><br />
(´ﾟДﾟ`)那po的通话记录里显示的是什么时候",,,,
28462482,1594687416,8elLSBY,而且我现在好困...又有点睡不着，手里又在冒汗,,,,
28462492,1594687457,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462439</font><br />
(;´Д`)我不知道啊，我就妈妈一个人家里",,,,
28462500,1594687475,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462471</font><br />
十一点左右( ;´д`)",,,,
28462522,1594687540,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462492</font><br />
先给妈妈打个电话说一下状况呗，不知道警察叔叔们找你的时候有没有先联系家长。她可能很担心的",,,,
28462533,1594687586,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462522</font><br />
我打个电话去( ;´д`)",,,,
28462545,1594687620,HDTay6J,警察是真的警察吗，建议po记下警号,,,,
28462571,1594687704,8elLSBY,妈妈没接( ;´д`),,,,
28462598,1594687788,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28462571</font><br />
要不要打给妈妈住的医院转接一下？",,,,
28462603,1594687810,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28462482</font><br />
( ´ー`)别慌啦，建议问一下警察你等会需要做什么，好有个心理准备，不会发生一上来就把你关起来这种事，如果是这种展开的话po连现在拿着手机上a岛都做不到",,,,
28462608,1594687825,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462571</font><br />
( ﾟ∀。)可能是在上班吧，别着急。有的职业接电话不太方便的，比如医生护士老师啥的。<br />
说起来警察叔叔们接到的那个电话是po打来的吗？还是其他人？我记得你好像昨晚看到有人闪手电筒来着",,,,
28462631,1594687894,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462598</font><br />
(;´Д`)我不是很知道肥母住院的地方",,,,
28462641,1594687936,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462603</font><br />
我问一下(;´Д`)人生第一次还是这么和警察叔叔讲话",,,,
28462653,1594687963,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462608</font><br />
肥母就是护士( ;´д`)",,,,
28462659,1594687969,WKXpsqI,"这样啊，你打电话给导员吧…这种事也只能麻烦导员班主任了<br />
<font color=""#789922"">&gt;&gt;No.28462631</font>",,,,
28462676,1594688027,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462631</font><br />
(｀・ω)妈妈住院这种事情挺大的吧，阿肥连地址都不知道……平时要多关心妈妈啊",,,,
28462683,1594688058,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462676</font><br />
( ・_ゝ・)和肥母关系不太好其实...",,,,
28462692,1594688088,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28462659</font><br />
我记得好像有他们微信(;´Д`)我试试",,,,
28462719,1594688161,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462683</font><br />
( ´ー`)家里只有妈妈还关系不太好吗……<br />
虽然不知道肥和肥母有什么矛盾，不过毕竟是把你带大的人，可以的话还是多和她说说话聊聊天吧",,,,
28462741,1594688212,4kacJUQ,不是，家里面就肥母还关系不好可还行(((　ﾟдﾟ))),,,,
28462782,1594688304,YTcgHRh,( ´_ゝ`)血压拉高，你是能有什么矛盾啊,,,,
28462808,1594688375,8elLSBY,( ・_ゝ・).....很有些难以开口的经过家里,,,,
28462824,1594688432,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462808</font><br />
(・ー・)唉，谁家里没有点事呢……<br />
和导员主任联系上了吗？",,,,
28462834,1594688459,8elLSBY,我稍微有点困了....我眯一下先( ・_ゝ・),,,,
28462838,1594688491,8elLSBY,虽然还是有些怕吧( ´_ゝ`)但我眼睛有点撑不住了,,,,
28462851,1594688540,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28462838</font><br />
睡个一二十分钟吧<br />
不过会不会被警察叔叔吐槽这都能睡得着( ﾟ∀。)",,,,
28462885,1594688652,OrocAk8,一觉醒来警察局突然空无一人，窗外慢慢升起浓厚的白雾( ﾟ∀ﾟ),,,,
28462897,1594688688,5b7tlpY,"<font color=""#789922"">&gt;&gt;No.28462885</font><br />
( ﾟ∀。)草",,,,
28462902,1594688705,5b7tlpY,别吓po啊( ﾟ∀。),,,,
28462916,1594688741,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28462885</font><br />
一觉醒来，突然发现警员全在眼前跳起了太阳系disco( ﾟ∀。)",,,,
28462933,1594688788,mUuUMR9,"<font color=""#789922"">&gt;&gt;No.28462916</font><br />
一转劲舞团草( ﾟ∀。)",,,,
28462942,1594688818,LnwrguF,然后发现警员是黑皮金毛男大姐，皮肤苍白的黑发滑板青年和一个会飞的双马尾机器人( ﾟ∀。),,,,
28463271,1594689888,LnwrguF,话说po啊( ﾟ∀。)你那里这么诡异，还有什么其他怪谈吗？,,,,
28463299,1594689951,8elLSBY,到地方了(*ﾟーﾟ),,,,
28463309,1594689990,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28463271</font><br />
( ﾟ∀。)好像挺多的还，我一时间还列不完",,,,
28463336,1594690081,8elLSBY,好像要让我做个口录还是什么的，我先去( ﾟ∀。),,,,
28463417,1594690293,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28463336</font><br />
(*ﾟ∇ﾟ)别动，唔系差人",,,,
28463419,1594690302,Q627MjK,虽然感觉问得太晚了，但是po说说昨天对面闪光的是几楼啊，对面也是老教学楼吗？,,,,
28463456,1594690378,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28463419</font><br />
不知道，对面倒确实是老教学楼来着",,,,
28463469,1594690424,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28463456</font><br />
( ﾟ∀。)错饼了？",,,,
28463530,1594690588,5b7tlpY,不是po的那一栋楼是老教学楼么( ﾟ∀。),,,,
28463666,1594690897,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28463530</font><br />
( ﾟ∀。)啥？我翻上去再看看",,,,
28463868,1594691504,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28463666</font><br />
他没提他是在老教学楼吧？",,,,
28463918,1594691652,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28457559</font><br />
这里，po说应该是老教学楼的",,,,
28465022,1594694700,8elLSBY,( ﾟ∀。)好饿,,,,
28465027,1594694737,8elLSBY,基本情况了解了( ﾟ∀。)现在在被训话,,,,
28465072,1594694841,Rq4MxNJ,"<font color=""#789922"">&gt;&gt;No.28465022</font><br />
我也好饿( ´ー`)<br />
从警局出来吃点东西吧。顺便租个充电宝续一下命",,,,
28465102,1594694933,8elLSBY,( ﾟ∀。)我打算整份冒菜中午吃,,,,
28465143,1594695012,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28465102</font><br />
( ﾟ∀。)冒菜？是成都肥？",,,,
28465232,1594695214,qoqDx7F,饮食注意卫生(｀･ω･),,,,
28465313,1594695421,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28465143</font><br />
( ´ー`)感觉现在冒菜到处都是",,,,
28465316,1594695427,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28465102</font><br />
冒菜不错，再整瓶百事，绝配",,,,
28465318,1594695430,QjIA6QT,街上风景还蛮不错的( ﾟ∀。),2020-07-14/5f0d1f06b7177,.jpg,,
28465328,1594695449,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28465102</font><br />
还是吃点清淡的吧( ﾟ∀。)屁眼喷火警告",,,,
28465339,1594695473,QjIA6QT,"<font color=""#789922"">&gt;&gt;No.28465318</font><br />
草，我发了什么( ﾟ∀。)你们全当没看见",,,,
28465351,1594695500,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28465339</font><br />
(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ",,,,
28465399,1594695617,5b7tlpY,( ﾟ∀。)你太假了吧,,,,
28465403,1594695631,WKXpsqI,假,,,,
28465408,1594695641,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28465318</font><br />
( ﾟ∀。)您用得着这样吗",,,,
28465410,1594695644,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28465339</font><br />
(σﾟ∀ﾟ)σ",,,,
28465416,1594695661,LnwrguF,不要停下来可还行,,,,
28465429,1594695681,QjIA6QT,妈的，我的ps功底有那么差吗,,,,
28465460,1594695746,WKXpsqI,歪串不好吧，人家串主还直播呢，紫菜吧,,,,
28465475,1594695768,8elLSBY,香香( ´ρ`)就是有点油,2020-07-14/5f0d20585d90d,.jpg,,
28465483,1594695784,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28465318</font><br />
3:32……？是时间吗",,,,
28465490,1594695810,Rq4MxNJ,"<font color=""#789922"">&gt;&gt;No.28465475</font><br />
手机掉碗里预订|∀` )",,,,
28465503,1594695833,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28465475</font><br />
冒菜好恰( ´ρ`)",,,,
28465522,1594695897,5b7tlpY,冒菜香香( ´ρ`),,,,
28465537,1594695940,YTcgHRh,po被问完话了么( ﾟ∀。),,,,
28465557,1594695984,8elLSBY,( ﾟ∀。)还没呢，我只是太饿了，他们看我又造孽就让我先吃着,,,,
28465567,1594696020,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28465557</font><br />
四川人不要上岛( ﾟ∀。)",,,,
28465577,1594696038,YTcgHRh,四川人不能上岛( ﾟ∀。),,,,
28465693,1594696275,BWrtZZF,"<font color=""#789922"">&gt;&gt;No.28465557</font><br />
( ´ー`)这问了好久呀，po今天没课吗？联系过辅导员没有，请假了吗",,,,
28465726,1594696366,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28465693</font><br />
( ﾟ∀。)已经被警察叔叔打过电话了",,,,
28465733,1594696387,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28465567</font><br />
四川人可以上岛( `д´)",,,,
28465774,1594696472,vmEpdGG,( ﾟ∀。)po你知道几个怪谈啊？都是和你们学校有关的吗,,,,
28465792,1594696506,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28465774</font><br />
( ﾟ∀。)草，我才想起来这是怪诞串，你等我给你想想啊",,,,
28465814,1594696558,8elLSBY,( ﾟ∀。)好像有个关于寝室的，有个关于楼梯的，有个和我们学校老建筑有关的,,,,
28465827,1594696575,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28465792</font><br />
( ﾟ∀。)吃完再想也行啦，又不着急",,,,
28465847,1594696636,vmEpdGG,"<font color=""#789922"">&gt;&gt;No.28465814</font><br />
( ﾟ∀。)……感觉都是很常见的怪诞呢，你们这学校不太行",,,,
