id,created_at,user_id,content,attachment_base,attachment_extension,title,name
48087448,1644068338,jVzrQYP,肯定有鬼,,,,
48087464,1644068353,t14scOZ,太酷了( ﾟ∀。),,,,
48087505,1644068382,BiHpTOD,"我不理解嗷，目前情况是什么<br />
但是很明显的一件事，我梦游很明显是不可能逻辑清晰的表述信息并且直接打出“找到了”这种字样的，而且是连续两晚上<br />
这必然是有智慧的介入才能实现的事情",,,,
48087520,1644068397,t14scOZ,//我还是觉得是po( ﾟ∀。),,,,
48087524,1644068399,7qIeFTI,所以这两个小时他在毁灭证据( ´_ゝ`)旦,,,,
48087661,1644068533,BiHpTOD,"目前情况我还是觉得有可能是我的损友在给我恶作剧<br />
( ﾟ∀。;)不然呢，真的是鬼怪啥的么",,,,
48087685,1644068548,BiHpTOD,等我再问问,,,,
48087727,1644068583,ehaeaXO,( ｣ﾟДﾟ)｣＜电话狂暴鸿儒！,,,,
48087773,1644068617,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48087727</font><br />
在打电话，我是觉得这种如果真的是恶作剧就有些过了头了",,,,
48087940,1644068772,BiHpTOD,分享图片,2022-02-05/61fe7fa247beb,.jpg,,
48087962,1644068788,BiHpTOD,( ﾟ∀。).......,,,,
48087988,1644068811,ALM5Alv,//我靠，无限循环好酷( ﾟ∀。),,,,
48088000,1644068829,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48087962</font><br />
( ﾟ∀。)咋了",,,,
48088017,1644068840,S5iE6is,"<font color=""#789922"">&gt;&gt;No.48087988</font><br />
//ﾟ∀ﾟ)σ我也搞出来了一个",,,,
48088020,1644068840,pzFVikk,（°∀。）,,,,
48088028,1644068844,BiHpTOD,所以到底是谁？,,,,
48088074,1644068877,7qIeFTI,没准是你浏览奇怪网站中了病毒(`ᝫ´ ),,,,
48088136,1644068926,BiHpTOD,这绝对不是梦游什么的可以解释的了的问题了，岛本来也是个小网站，不会说有专门设计出来的所谓的病毒来感染我的手机，我没什么别人好惦记的财富,,,,
48088152,1644068937,ALM5Alv,"<font color=""#789922"">&gt;&gt;No.48088017</font><br />
//看到了，深夜才办得到啊，羡慕<br />
我也想搞一个(((　ﾟдﾟ)))",,,,
48088181,1644068964,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48088136</font><br />
( ﾟ∀。)7不行，不行今晚找个借口在外面过一宿吧",,,,
48088200,1644068979,BiHpTOD,所以到底是谁？,,,,
48088229,1644069000,S5iE6is,所以，你考虑去看心理医生吗？,,,,
48088287,1644069049,S5iE6is,"<font color=""#789922"">&gt;&gt;No.48088229</font><br />
我知道这样说有点冒犯。<br />
但是，从旁观者的角度看，我觉得你的状态真的不太好。",,,,
48088302,1644069066,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48088229</font><br />
我不知道，我现在有些害怕，主要是晚上的发言是有逻辑和目的的，甚至可以发出有组织的话语",,,,
48088329,1644069086,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48088287</font><br />
我状态怎么了？",,,,
48088397,1644069157,BiHpTOD,不是，我睡觉的地方除了我和我的家人以外可能存在着别的东西甚至可能被别人监控,,,,
48088428,1644069189,BiHpTOD,我不知道，我现在一身鸡皮疙瘩，我得先回家看看,,,,
48088436,1644069202,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48088302</font><br />
( ﾟ∀。)说不定是人格分裂，明天看看医生？",,,,
48088471,1644069231,S5iE6is,"<font color=""#789922"">&gt;&gt;No.48088302</font><br />
嗯，别慌张，别自己吓自己。<br />
鬼怪不存在，不是吗，要相信科学。",,,,
48088486,1644069246,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48088436</font><br />
有可能，如果是我自己的问题我不想牵连别人什么的，虽然这意味着我他妈人生完了，但是早发现早治疗",,,,
48088520,1644069274,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48088471</font><br />
无论是什么情况这都有问题，是鬼怪都还好，我怕的是人",,,,
48088540,1644069294,NzX9x86,肥哥小心点( ﾟ∀。)得个精神疾病早点治就好了，没有到人生完了的地步的,,,,
48088552,1644069301,BiHpTOD,肥哥们我不多聊了，我下地铁了，骑个摩拜先回家看看,,,,
48088623,1644069371,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48088486</font><br />
( ﾟ∀。)9没事，治疗就行，回家的话还是先找点防具，开门前先听听看？或者先敲门再等一会。",,,,
48088669,1644069411,BiHpTOD,不是我下的哪一站啊,,,,
48088688,1644069426,ThxMrEL,"<font color=""#789922"">&gt;&gt;No.48088669</font><br />
?",,,,
48088716,1644069448,BiHpTOD,得，脑子出问题眼睛也出问题了，坐过两个站,,,,
48088745,1644069472,REOS7hB,？,,,,
48088760,1644069485,jVzrQYP,( ´_ゝ`)旦,,,,
48088790,1644069522,S5iE6is,"<font color=""#789922"">&gt;&gt;No.48088716</font><br />
(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ逊<br />
( ›´ω`‹ )我也经常回家坐过一站或者早下一站",,,,
48088796,1644069528,BiHpTOD,狗日的飞凉,2022-02-05/61fe8293a7023,.jpg,,
48088859,1644069585,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48088796</font><br />
( ﾟ∀。)冷静，要不先找个小卖部买瓶水",,,,
48088927,1644069636,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48088859</font><br />
我没事，我只是有点紧张",,,,
48089032,1644069743,BiHpTOD,到了,,,,
48089057,1644069763,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48088927</font><br />
( ﾟ∀。)先缓缓，之前都带了啥东西，别掉了，紧张容易掉东西。",,,,
48089070,1644069775,BiHpTOD,真的太冷了，冷风往裤脚里面钻,,,,
48089087,1644069792,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48089057</font><br />
就带了把伞",,,,
48089128,1644069830,BiHpTOD,这外面这黑灯瞎火的怎么，摩拜一辆都没有的？,2022-02-05/61fe83c345481,.jpg,,
48089148,1644069852,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089087</font><br />
( ﾟ∀。)伞，伞剑。<br />
应该没什么声音，没有就开门？",,,,
48089183,1644069891,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089128</font><br />
( ﾟ∀。)原来还在找车，没事了。<br />
现在也没公交……看看地图？",,,,
48089265,1644069967,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48089183</font><br />
我走回去了",,,,
48089297,1644070001,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089265</font><br />
( ﾟ∀。)冷的呀……<br />
回去的话还能忍一下冷就先听听家里有没有声音再进？",,,,
48089312,1644070016,BiHpTOD,为啥这路边灯者么亮啊又,2022-02-05/61fe847bb61ca,.jpg,,
48089366,1644070082,7qIeFTI,领导要来检查吧( ﾟ∀。),,,,
48089377,1644070088,CaToGqH,po离家还远吗ﾟÅﾟ )　,,,,
48089440,1644070147,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089312</font><br />
( ﾟ∀。)亮挺好。总比黑好，步行一般多久到家？",,,,
48089517,1644070233,BiHpTOD,这地方晚上看着是真的渗人,2022-02-05/61fe8556056dd,.jpg,,
48089544,1644070273,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089517</font><br />
( ｣ﾟДﾟ)｣＜别照了，不嫌冷啊——",,,,
48089611,1644070339,BiHpTOD,分享图片,2022-02-05/61fe85be53e32,.jpg,,
48089674,1644070403,BiHpTOD,这里的人呢？？,2022-02-05/61fe85ff3216d,.jpg,,
48089694,1644070418,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089611</font><br />
( ﾟ∀。)这灯光的方向",,,,
48089725,1644070449,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089674</font><br />
雨天能回的都回家了吧( ﾟ∀。)又冷。",,,,
48089731,1644070454,BiHpTOD,人都去哪了？？？,2022-02-05/61fe863298f34,.jpg,,
48089793,1644070499,oQx8zH9,pop看导航,,,,
48089817,1644070515,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089731</font><br />
( ﾟ∀。)这个地方比较偏吗？",,,,
48089823,1644070523,BiHpTOD,人呢？？？？？？,2022-02-05/61fe8677878ab,.jpg,,
48089886,1644070575,ThxMrEL,"<font color=""#789922"">&gt;&gt;No.48089823</font><br />
不要自己吓自己哇",,,,
48089888,1644070576,CaToGqH,po 该跑就跑,,,,
48089930,1644070614,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089823</font><br />
⊂彡☆))д`)<br />
回家先( ﾟ∀。)很晚了",,,,
48089936,1644070619,S5iE6is,我这里街上也没人啊？,,,,
48089959,1644070638,S5iE6is,都这个点了，街上一般也没什么人吧,,,,
48089977,1644070653,BiHpTOD,我在他妈的成都，这里的十字路口在这个时间段不可能没人我草他妈的,,,,
48090024,1644070713,BiHpTOD,为什么前面那段路那么亮啊我草,2022-02-05/61fe8733c704d,.jpg,,
48090025,1644070713,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48089977</font><br />
( ﾟ∀。)我说桥那咋有熊猫画。<br />
先回，至少到熟悉的路况",,,,
48090058,1644070741,S5iE6is,去看看呗,,,,
48090077,1644070762,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090024</font><br />
( ﾟ∀。)这跟啥手册上的感觉一样，换条路？",,,,
48090096,1644070778,BiHpTOD,那是我回家的乱啊我.日.你.了艹,,,,
48090150,1644070811,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48090096</font><br />
冷静，先组织一下语言",,,,
48090155,1644070816,S5iE6is,要打110吗？人民警察永远可以信任,,,,
48090174,1644070836,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090096</font><br />
( ﾟ∀。)要不先看看手机信号如何",,,,
48090176,1644070839,S5iE6is,"或者我帮你打吧。<br />
你大致的位置是哪里？",,,,
48090178,1644070843,adH1ai0,绕路吧( ﾟ∀。),,,,
48090199,1644070861,BiHpTOD,这是哪里啊我艹,2022-02-05/61fe87c83970b,.jpg,,
48090255,1644070898,BiHpTOD,分享图片,2022-02-05/61fe87ed8a0d2,.jpg,,
48090260,1644070902,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090199</font><br />
( ﾟ∀。;)这还能空间穿越的。<br />
回头是见过的路吗？",,,,
48090266,1644070906,ThxMrEL,去警察局吧,,,,
48090275,1644070913,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48090199</font><br />
在建轻轨吗？( ﾟ∀。)",,,,
48090290,1644070921,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090255</font><br />
( ﾟ∀。)po？",,,,
48090296,1644070923,9BlacL0,保持冷静并祝你好运,,,,
48090311,1644070935,BiHpTOD,分享图片,2022-02-05/61fe88137641a,.jpg,,
48090323,1644070953,qwqzErV,跑起来了( ﾟ∀。),,,,
48090334,1644070962,oQx8zH9,捡点石头在地上做标记，走之前朝前面扔块石头,,,,
48090338,1644070969,BiHpTOD,分享图片,2022-02-05/61fe8834478f3,.jpg,,
48090361,1644070990,BiHpTOD,分享图片,2022-02-05/61fe884b0cde9,.jpg,,
48090374,1644070997,oQx8zH9,这是我的死地 既视感(|||ﾟДﾟ),,,,
48090393,1644071020,ehaeaXO,( ﾟ∀。)边报警边跑吧,,,,
48090396,1644071024,CaToGqH,擦 小图还以为是个人头迎面撞上来ﾟÅﾟ )　,,,,
48090462,1644071082,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090361</font><br />
( ﾟ∀。)突然觉得其实还在电车上，右上角感觉是把手",,,,
48090471,1644071089,BiHpTOD,分享图片,2022-02-05/61fe88ad58136,.jpg,,
48090484,1644071101,UXgEveT,"<font color=""#789922"">&gt;&gt;No.48073637</font><br />
啊这个…一个猜想，不一定对，popo是不是没办法跟爸妈讲话的( ﾟ∀。)<br />
popo能不能无视这条，让我自己随便推理( ﾟ∀。)<br />
[h]  1只有po还在，受刺激精分了，爸妈弟其实都不在了，在家的时候幻想了妈妈还在，但是是精分，当然不能询问（或者说潜意识里拒绝询问…？），得不到压岁钱，尽力不和妈妈有交流，爸爸弟弟反正也住的远，一般也不用联系，直接拒绝联系就好了，那个图其实是妈妈出事的时候的记忆图片…？因为妈妈最重要了，所以妈妈给popo带来的刺激更大。不知道是不是我过度解读了，我觉得是这个的原因是…爸妈在家小孩哪里敢点外卖哦( ﾟ∀。)火锅上菜的量看上去也没有很多啊，桌子这边都没菜的，纯属自己出来吃夜宵了吧  [/h]<br />
[h]  2只有po不在了( ﾟ∀。)  [/h]",,,,
48090513,1644071129,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090311</font><br />
( ﾟ∀。)开始跑起来后只有这个照片没有那个白色亮光诶",,,,
48090516,1644071132,lu6WzPM,(つд⊂)po不说话只发图了,,,,
48090552,1644071158,BiHpTOD,分享图片,2022-02-05/61fe88f1c8965,.jpg,,
48090560,1644071163,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090471</font><br />
( ﾟ∀。)啊单车，这个也没有亮光",,,,
48090583,1644071175,oQx8zH9,进电梯了,,,,
48090587,1644071177,adH1ai0,电梯？,,,,
48090596,1644071183,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090552</font><br />
？？<br />
( ｣ﾟДﾟ)｣＜po——",,,,
48090626,1644071216,BiHpTOD,分享图片,2022-02-05/61fe892b95c52,.jpg,,
48090689,1644071268,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090626</font><br />
( ﾟ∀。)po——",,,,
48090717,1644071292,BiHpTOD,分享图片,2022-02-05/61fe89777067f,.jpg,,
48090738,1644071306,CaToGqH,"<font color=""#789922"">&gt;&gt;No.48090626</font><br />
?！po你要去哪里啊！",,,,
48090743,1644071316,adH1ai0,这是摔下去了？,,,,
48090744,1644071318,SISZLJI,太蛤人了( ﾟдﾟ),,,,
48090768,1644071336,BiHpTOD,到了,,,,
48090769,1644071337,23WOAhk,走楼梯？,,,,
48090783,1644071346,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090717</font><br />
( ﾟ∀。)这视角越来越，po——在吗——",,,,
48090798,1644071358,BiHpTOD,分享图片,2022-02-05/61fe89b95c286,.jpg,,
48090814,1644071370,oQx8zH9,早点睡吧 晚上太危险了,,,,
48090826,1644071381,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090798</font><br />
钥匙还在吗(　ﾟ 3ﾟ)",,,,
48090845,1644071393,adH1ai0,那是不是有个人( ﾟ∀。),2022-02-05/61fe89de67527,.jpg,,
48090865,1644071411,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48090845</font><br />
管道吧",,,,
48090877,1644071419,ThxMrEL,"<font color=""#789922"">&gt;&gt;No.48090845</font><br />
不是，别瞎想",,,,
48090899,1644071432,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48090845</font><br />
是柱子( ﾟ∀。)",,,,
48090942,1644071460,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48090768</font><br />
龟龟？",,,,
48090981,1644071492,qwqzErV,感觉是昨晚那位吧？您好？,,,,
48090997,1644071502,adH1ai0,什么到了？,,,,
48091009,1644071508,BiHpTOD,( ﾟ∀。)我到家咯！,,,,
48091038,1644071520,adH1ai0,( ﾟ∀。)那没事了,,,,
48091044,1644071524,oQx8zH9,pop 你怎样了,,,,
48091061,1644071536,BiHpTOD,( ﾟ∀。;)这个雨只有那么大了，真的，我骑着摩拜回来一身雨,,,,
48091080,1644071551,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48091009</font><br />
( ﾟ∀。)找到摩拜了？还挺快",,,,
48091118,1644071580,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48091061</font><br />
( ﾟ∀。)放弃走回家了",,,,
48091141,1644071596,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48090768</font><br />
这条是po发的吗？",,,,
48091144,1644071600,lu6WzPM,"( ﾟ∀。；)你不是走回来的吗？<font color=""#789922"">&gt;&gt;No.48091061</font>",,,,
48091166,1644071620,CaToGqH,所以po是被什么附身（?）了?,,,,
48091176,1644071624,BiHpTOD,"<font color=""#789922"">&gt;&gt;No.48091044</font><br />
( ;ﾟ∀。;)不是给你们说我下地铁回家了么？我就骑着个摩拜回家了",,,,
48091182,1644071626,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48091061</font><br />
不是找不到车吗？( ﾟ∀。)",,,,
48091211,1644071656,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48091176</font><br />
你刚被调包了( ﾟ∀。)",,,,
48091226,1644071665,BiHpTOD,( ;ﾟ∀。;)肥哥怎么都不回复我了....那个小逼崽子还是没有回复我,2022-02-05/61fe8aef783b9,.jpg,,
48091251,1644071683,CaToGqH,"<font color=""#789922"">&gt;&gt;No.48091176</font><br />
po你最好看看前面你发的图( ﾟ∀。)",,,,
48091284,1644071712,CaToGqH,"<font color=""#789922"">&gt;&gt;No.48091226</font><br />
???不对劲 消息记录没了",,,,
48091294,1644071723,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48091226</font><br />
( ﾟ∀。)777<br />
<br />
视频通话开",,,,
48091297,1644071724,qwqzErV,"<font color=""#789922"">&gt;&gt;No.48091226</font><br />
看见了吗？喂喂？",,,,
48091299,1644071725,BiHpTOD,( ;ﾟ∀。;)我到家啦反正，我估计这些事都是这个小逼崽子给我整得，就不麻烦大家了，我去申请自删,,,,
48091315,1644071739,qwqzErV,别！！！,,,,
48091353,1644071766,CaToGqH,po要不今天早点睡吧 养好精神,,,,
48091355,1644071766,BiHpTOD,( ﾟ∀。)还是家里面好啊，回家了，到家了。,,,,
48091360,1644071773,adH1ai0,"<font color=""#789922"">&gt;&gt;No.48087261</font><br />
( ﾟ∀。)",,,,
48091365,1644071776,ehaeaXO,"<font color=""#789922"">&gt;&gt;No.48091299</font><br />
( ﾟ∀。)先去洗澡吧",,,,
