id,created_at,user_id,content,attachment_base,attachment_extension,title,name
28444845,1594631284,ADHaPBS,(｀･ω･)好刺激的团,,,,
28445048,1594631768,4kacJUQ,赛博幽灵任然盘旋在这里( ﾟ∀。),,,,
28445153,1594632050,ggj9HQ5,题外话:各位对po在其他团提到的B.GM.system有什么头猪吗,,,,
28446688,1594635680,LnwrguF,"<font color=""#789922"">&gt;&gt;No.28445153</font><br />
没有看他的其他团唉|ー` )不要脸地求个串号",,,,
28446748,1594635793,DtspYIv,"<font color=""#789922"">&gt;&gt;No.28445153</font><br />
( ﾟ∀。)竟然还有人愿意来解密这个，那我话还是放在那，谁第一个解出来送个团",,,,
28447317,1594637115,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28446688</font><br />
<font color=""#789922"">&gt;&gt;No.26235090</font>",,,,
28447394,1594637265,4kacJUQ,( ﾟ∀。)有个问题，我们下个串也是这种的话，有些不能给二狗说的话该放在哪,,,,
28447884,1594638229,QjIA6QT,"<font color=""#789922"">&gt;&gt;No.28446748</font><br />
我依稀记得你3、4个月以前说过一样的话，开了一大堆团，到最后只剩MPnd一个人在跑。",,,,
28447985,1594638360,CQFN9Pn,"还有人在这...？<br />
嘛，那我也说点我从ptsd嘴里套出来的信息吧",,,,
28448014,1594638405,9N98DGM,"<font color=""#789922"">&gt;&gt;No.28447985</font><br />
gkd",,,,
28448049,1594638451,QjIA6QT,"<font color=""#789922"">&gt;&gt;No.28447985</font><br />
日报兄，你自己的团有没有什么列表的？",,,,
28448055,1594638461,CQFN9Pn,"首先，这个团实际上是有很大水分的<br />
你们想想如果没有po的小饼引导<br />
二狗能走多远| ω・´)",,,,
28448060,1594638488,CQFN9Pn,"首先，这个团实际上是有很大水分的<br />
你们想想如果没有po的小饼引导<br />
二狗能走多远| ω・´)",,,,
28448072,1594638505,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448049</font><br />
冇<br />
我团都是黑历史",,,,
28448086,1594638520,CQFN9Pn,风怒了( ﾟ∀。),,,,
28448204,1594638708,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28448055</font><br />
( ﾟ∀。)草",,,,
28448212,1594638720,YTcgHRh,然后还有么( ﾟ∀。)水分确实大,,,,
28448217,1594638731,DtspYIv,你悠着点啊( ﾟ∀。),,,,
28448254,1594638803,5b7tlpY,"<font color=""#789922"">&gt;&gt;No.28448055</font><br />
gkd",,,,
28448267,1594638829,4kacJUQ,( ﾟ∀ﾟ)还有么,,,,
28448276,1594638843,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448217</font><br />
悠什么悠，就现在这个狼人杀状态按你的二周目剧本走活不出20%( ﾟ∀。)",,,,
28448378,1594639021,8elLSBY,( ﾟ∀。)草,,,,
28448386,1594639033,YTcgHRh,20%可还行,,,,
28448422,1594639109,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448276</font><br />
算了我也不说多了，懂得都懂( ﾟ∀。)<br />
<br />
也不是只有王老爷子有背景故事。<br />
万事都有起因。<br />
<br />
变傻某种程度上是个好处<br />
但很难利用，除非......",,,,
28448447,1594639167,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28447778</font><br />
po的科技团出现了",,,,
28448607,1594639514,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28448422</font><br />
开始口胡，比如那种一旦意识到某种东西的存在就会被对方注意到什么的( ﾟ∀。)避免灵感太高一转团灭发动机",,,,
28448695,1594639664,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448607</font><br />
( ﾟ∀ﾟ)b<br />
猜到了一点",,,,
28448740,1594639768,DtspYIv,他骗你们(　ﾟ 3ﾟ),,,,
28448809,1594639930,czvUSMD,"<font color=""#789922"">&gt;&gt;No.28448422</font><br />
这个语气你难道是( ﾟ∀。)",,,,
28448823,1594639961,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448809</font><br />
没错我就是ptsd小饼( ﾟ∀。)",,,,
28448832,1594639983,czvUSMD,"<font color=""#789922"">&gt;&gt;No.28448740</font><br />
看到(　ﾟ 3ﾟ)我就信力( ´∀`)",,,,
28448836,1594639987,CQFN9Pn,"<font color=""#789922"">&gt;&gt;No.28448740</font><br />
心虚了吧( ﾟ∀。)",,,,
28448874,1594640041,czvUSMD,所以B.GM.System到底是什么(´ﾟДﾟ`),,,,
28448900,1594640097,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28448695</font><br />
再然后就是自身精神没那么容易崩到奇怪的方向之类或者出大事优先求生本能( ﾟ∀。)...感觉已经想偏了",,,,
28448940,1594640154,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28448740</font><br />
没关系总之团跑起来玩的开心就好(*ﾟ∇ﾟ)",,,,
28448974,1594640218,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28448874</font><br />
之前的团说过和贝叶斯公式有关除此之外还有一层",,,,
28448990,1594640248,czvUSMD,"<font color=""#789922"">&gt;&gt;No.28448974</font><br />
还有一层也不知道该往什么方向想(´ﾟДﾟ`)",,,,
28448991,1594640249,8elLSBY,"<font color=""#789922"">&gt;&gt;No.28448974</font><br />
( ﾟ∀。)贝利叶公式",,,,
28449009,1594640289,8elLSBY,我记得贝利叶模型不是一个由不动与动之间产生交互然后诞生更多可能的一个模型么( ﾟ∀。),,,,
28449086,1594640418,czvUSMD,"<font color=""#789922"">&gt;&gt;No.28448974</font><br />
难不成是进一步的解读(´ﾟДﾟ`)",,,,
28449121,1594640489,8elLSBY,( ﾟ∀。)提个意，下个串还是沉浸的话，在这里讨论戏外话如何,,,,
28449137,1594640515,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28449009</font><br />
( ﾟ∀。)这...",,,,
28449170,1594640578,5b7tlpY,https://baike.baidu.com/item/BGM/5944096,,,,
28449650,1594641527,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28449170</font><br />
(　д ) ﾟ ﾟ感觉这个可以有",,,,
28449725,1594641690,ggj9HQ5,"我只能想到GM→GameMaster这种东西<br />
前面那个字母B实在不知道是啥<br />
Builder建造者？",,,,
28449849,1594641946,20aFfM6,"<font color=""#789922"">&gt;&gt;No.28402328</font><br />
<font color=""#789922"">&gt;&gt;No.28402346</font><br />
<font color=""#789922"">&gt;&gt;No.28448607</font><br />
<font color=""#789922"">&gt;&gt;No.28448695</font><br />
忽然想起之前小饼对本肥提出触发点的回应，同样问下剧情讨论和发展准备要不要/怎么分开(oﾟωﾟo)",,,,
28449898,1594642058,5b7tlpY,"<font color=""#789922"">&gt;&gt;No.28449849</font><br />
超游讨论就在这里吧( ﾟ∀。)不然挺搞团内心态的，干脆在里面也别加//了看着难受",,,,
28450232,1594642769,CQFN9Pn,"擦，你们...<br />
<br />
别告我你们真打算硬钢<br />
你们不是有另外的选择吗",,,,
28450691,1594643727,5b7tlpY,( ﾟ∀。)今晚上有活么,,,,
28450803,1594643991,8elLSBY,不太清楚( ﾟ∀。)我感觉悬啊，这不是这两天才开么，连着开也太顶了,,,,
28450951,1594644284,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28450232</font><br />
(ﾟДﾟ≡ﾟДﾟ)",,,,
28451796,1594646045,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28447985</font><br />
“肥肥听听好，我被透了一波之后要来给你们剧透啦”<br />
A po主授意，是托<br />
B po主未授意<br />
<font color=""#789922"">&gt;&gt;No.28448055</font><br />
“颤抖吧，憨批肥肥们，你们很菜全靠po放水”<br />
gaslighting step one<br />
<font color=""#789922"">&gt;&gt;No.28448276</font><br />
“兄啊，我来透是为你好，你这憨批搞太难辣”<br />
gaslighting step two<br />
选B po主未授意<br />
<font color=""#789922"">&gt;&gt;No.28448422</font><br />
似是而非透一波，透约等于不透，把水搞更混，肥肥似懂非懂更迷惑<br />
A 中立善良<br />
B 混乱邪恶<br />
<font color=""#789922"">&gt;&gt;No.28450232</font><br />
“我可是为了你们好( `д´)天堂有路你不走哼”<br />
选A 中立善良<br />
<br />
十个饼的混邪ptsd有一个中立善良的朋友而且在他未授意的情况下这位中立善良的朋友插手他团强行剧透一波干扰走向（且不论ptsd自己干扰走向比谁都积极欢脱）<br />
<br />
这能信啊( ・_ゝ・)",,,,
28452130,1594646783,5b7tlpY,( ﾟ∀。)报主也来骗我们来了么意思是,,,,
28452166,1594646868,OrocAk8,有可能，这里的氛围不用来搞事真的可惜了(・∀・),,,,
28452191,1594646924,YTcgHRh,现在这个氛围( ﾟ∀。)就差提起饼干粉碎机看着个人就问你是不是狼人了,,,,
28452249,1594647027,CQFN9Pn,"( ﾟ∀。)<br />
一会就知道我我是搅混水还是什么了",,,,
28452262,1594647063,4kacJUQ,一会？？？？,,,,
28452268,1594647072,8elLSBY,真的(´ﾟДﾟ`)你不许骗我,,,,
28452269,1594647077,CQFN9Pn,"啊对了<br />
今晚新团<br />
( ﾟ∀。)",,,,
28452273,1594647091,YTcgHRh,( ﾟ∀。)( ﾟ∀。)( ﾟ∀。)( ﾟ∀。)？？？,,,,
28452280,1594647097,5b7tlpY,啥？,,,,
28452397,1594647347,4kacJUQ,( ﾟ∀。)( ﾟ∀。)( ﾟ∀。)我草,,,,
28452422,1594647417,sTtOtEJ,( ﾟ∀。)( ﾟ∀。)( ﾟ∀。)摩多摩多,,,,
28452444,1594647459,8elLSBY,"( ﾟ∀。)今天晚上<br />
(・∀・)我就是dtsp的赛博幽灵",,,,
28452453,1594647472,OrocAk8,十一点半吗( ﾟ∀。),,,,
28452474,1594647495,8elLSBY,你们看他妈的科技团( ﾟ∀。),,,,
28452504,1594647540,8elLSBY,快看啊( ﾟ∀。),,,,
28452515,1594647554,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28452474</font><br />
这是已经铺垫上了( ﾟ∀。)",,,,
28452534,1594647583,YTcgHRh,草他妈( ﾟ∀。)全是套娃，全他妈套娃,,,,
28452683,1594647847,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28452515</font><br />
是我在跑团还是团在跑我( ﾟ∀。)",,,,
28452718,1594647940,CQFN9Pn,嘛，看好戏吧,,,,
28452734,1594647991,FToovvr,我想为了保持新团的氛围，在新团里发这个串的链接，把场外讨论引到这里，但感觉这么做又会毁新团氛围( ﾟ∀。),,,,
28453994,1594650507,8elLSBY,老宿舍楼( ・_ゝ・),,,,
28453997,1594650509,nbh5Ysp,新团气氛已经被破坏了！完全么有沉浸感了…,,,,
28454016,1594650545,4kacJUQ,( ﾟ∀。)对,,,,
28454045,1594650598,WKXpsqI,完了，我想引狗去找老婆救狗，这下老婆没了,,,,
28454175,1594650859,20aFfM6,傻狗现在的状态用解释应该是讲不通的，尽量诱导吧，信任建立好难,,,,
28454213,1594650930,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28454175</font><br />
问题是，建立信任然后呢？怎么破，没老婆了",,,,
28454309,1594651115,8elLSBY,难度确实提升了( ﾟ∀。)我们不该直接灌信息的,,,,
28454324,1594651145,FToovvr,( ﾟ∀。)我想说“其实我暗恋PO很久了，专门买了好多手机号领饼干逗PO，才不告诉你我是谁”,,,,
28454336,1594651161,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28454309</font><br />
没有我们，每个pl都是独立的，各人有各人的想法和玩法",,,,
28454374,1594651220,FP0VA35,这新团我直接裂开,,,,
28454387,1594651248,8elLSBY,( ﾟ∀ﾟ)我是po，我可以告诉你们，这在我预料之内哦,,,,
28454397,1594651264,8elLSBY,等会你们就知道了( ﾟ∀ﾟ),,,,
28454422,1594651304,fovgkrn,"<font color=""#789922"">&gt;&gt;No.28454397</font><br />
啊( ´∀`)血压拉满",,,,
28454430,1594651331,20aFfM6,zu不是已经没了嘛，为什么寝室还会臭,,,,
28454504,1594651483,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28454430</font><br />
还有分尸的情侣呢",,,,
28454541,1594651556,ggj9HQ5,因为时间回溯了？zu付出代价之后消失，王婆婆可能也出事。但是怪谈还在所以就会有对应的东西出现？,,,,
28454575,1594651618,WKXpsqI,而且没有李学长了，抓瞎,,,,
28454591,1594651646,5b7tlpY,开局裂开,,,,
28454599,1594651671,ggj9HQ5,现在这情况感觉随时结团，慌起来力。,,,,
28454762,1594651986,OrocAk8,感觉现在应该先稳住，po在真正遇到怪谈之前不会相信的,,,,
28454821,1594652127,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28453538</font><br />
<font color=""#789922"">&gt;&gt;No.28454093</font><br />
<font color=""#789922"">&gt;&gt;No.28454226</font><br />
我有点在意这个饼干，他发的照片变成了S7，而且好像是在引导503那个怪谈|-` )",,,,
28454842,1594652164,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28454821</font><br />
是啊，我问了之后po马上扯开话题",,,,
28454879,1594652232,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28454821</font><br />
我觉得503真被引导出来就真裂开了，先分散二哈注意力？",,,,
28454885,1594652239,40Xw4wy,"<font color=""#789922"">&gt;&gt;No.28454842</font><br />
特别是凶杀案那个，没头没脑的突然就提出来了|-` )",,,,
28454968,1594652421,OrocAk8,"说起来之前mix是不是那个有问题的手机？<br />
现在开局就是mix，是不是说明它已经不对了",,,,
28454969,1594652425,DtspYIv,“咚”,,,,
28454978,1594652456,OrocAk8,好嘛，我这就去开转换器网页( ´_ゝ`),,,,
28454986,1594652471,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28454879</font><br />
我也觉得…不去面对不行，但去了怎么破",,,,
28454987,1594652471,20aFfM6,？？？抱紧我的牛子(つд⊂),,,,
28454991,1594652477,5b7tlpY,等一等(´ﾟДﾟ`),,,,
28454998,1594652492,ggj9HQ5,不对劲不对劲,,,,
28455001,1594652493,YTcgHRh,为什么现在会有咚？？？？,,,,
28455008,1594652507,4kacJUQ,那那个po是谁？？？,,,,
28455014,1594652521,ggj9HQ5,因为半夜十一点整，到午夜了？,,,,
28455017,1594652526,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28455001</font><br />
或许po已经无了",,,,
28455038,1594652574,ggj9HQ5,(;´Д`)卜要光速结团啊,,,,
28455172,1594652821,OrocAk8,"按理来说，zu没了，也没看见情侣（也许看见了，但是他没说）<br />
如果情侣来了就基本死定了。",,,,
28455210,1594652882,Q627MjK,等等，我们也许不应该阻止po去楼梯怪谈，这个怪谈很可能在一周目里被解决了，待在宿舍反而危险啊！ ,,,,
28455245,1594652947,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28455210</font><br />
不好说，刚才自称是po的饼唯二的操作是让po去楼梯还有劝他先回宿舍( ﾟ∀。)",,,,
28455249,1594652954,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455210</font><br />
臭味还在，按理说臭味也应该被解决，但还在",,,,
28455296,1594653020,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455210</font><br />
一周目被楼梯注意到之后一边飞行模式一边给假李医生打电话并且按着王婆婆给的办法才勉强过了",,,,
28455323,1594653053,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455296</font><br />
现在回溯了楼梯可能也会回溯并且不一定是原来那个楼梯",,,,
28455365,1594653129,DtspYIv,“咚咚”,,,,
28455367,1594653131,WKXpsqI,我想到可能错在哪了…每个怪谈都是有活动范围，所以应该按之前的方法让他过了楼梯，然后说服他呆在已经安全的楼梯,,,,
28455373,1594653137,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28455249</font><br />
po只是说有点臭，但zu的描述是恶臭，我觉得还是有点分别",,,,
28455378,1594653149,Q627MjK,但是情侣之前只是被吸进了手机，王大爷只是换了二狗的命，情侣不一定消失了，而楼梯尽管还有疑点，但是王婆确认应该没有问题了不是吗？,,,,
28455395,1594653172,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455367</font><br />
问题就是现在怎让他信",,,,
28455409,1594653195,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455365</font><br />
(´ﾟДﾟ`)",,,,
28455412,1594653197,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455373</font><br />
一开始有点臭，后来恶臭",,,,
28455417,1594653211,F4CY56t,我开始怕了(;´Д`),,,,
28455423,1594653229,YTcgHRh,"<font color=""#789922"">&gt;&gt;No.28455378</font><br />
大爷换命，说了句“人际关系”( ・_ゝ・)",,,,
28455433,1594653247,YTcgHRh,不太对(;´Д`)这事情不是我们看到的那么简单,,,,
28455439,1594653258,mUuUMR9,"情侣不会要来了吧( ´_ゝ`)<br />
淦，狗子啊——",,,,
28455445,1594653264,OrocAk8,每个人为了让po活都千方百计透露信息，最终却让po失去对我们的信任而什么都不采用，这或许也是一种猜疑链,,,,
28455461,1594653281,FToovvr,"<font color=""#789922"">&gt;&gt;No.28455395</font><br />
我觉得已经可以等下周目了( ´∀`) ",,,,
28455486,1594653318,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455423</font><br />
人际关系似乎是，他现在没朋友了",,,,
28455496,1594653331,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455445</font><br />
( ´_ゝ`)",,,,
28455501,1594653342,Q627MjK,肯定会有转机，dtsp肯定也不希望二周目这么快结束，之后我们应该积极一点，主动跑出去，并尽量劝说狗子去楼梯。,,,,
28455518,1594653367,4kacJUQ,"<font color=""#789922"">&gt;&gt;No.28455501</font><br />
等等，你们都等等",,,,
28455527,1594653378,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455486</font><br />
是，熟悉的学长也没了而且自诉下午头晕，身体健康可能也",,,,
28455528,1594653382,4kacJUQ,我们接到的信息是什么你们还记得么,,,,
28455536,1594653390,mUuUMR9,估计难劝了(;´Д`)这信任点也太低了,,,,
28455547,1594653398,4kacJUQ,午夜前夕,,,,
28455558,1594653414,4kacJUQ,现在才他妈午夜前夕我草,,,,
28455566,1594653423,Rq4MxNJ,"一下子给他的信息太杂了，正常人都会怕的<br />
（我就打了会wf怎么开团了！不是十一点半吗！）",,,,
28455571,1594653432,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455547</font><br />
血骨肉书...",,,,
28455579,1594653446,mUuUMR9,"<font color=""#789922"">&gt;&gt;No.28455547</font><br />
阴气最盛要来力( ´_ゝ`)旦",,,,
28455584,1594653454,OrocAk8,"等等啊，一开始不是去了楼梯，遇到怪谈之怪谈，po才开始频繁遭遇怪谈的吗？<br />
这次不是没去？那为什么还会被找上呢？",,,,
28455590,1594653459,kQh3cqh,怎么突然咚咚了 新团出事了？(´ﾟДﾟ`),,,,
28455598,1594653475,Rq4MxNJ,这个串的咚咚咚应该会在23：30出现？但是不知道会和二周目产生什么关联,,,,
28455617,1594653513,Rq4MxNJ,"<font color=""#789922"">&gt;&gt;No.28455584</font><br />
体质问题吧，zU大爷之前不是说他遭遇了很多这种事嘛（",,,,
28455622,1594653518,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455584</font><br />
zu不能把他完全原样弄回来好像",,,,
28455641,1594653548,20aFfM6,"<font color=""#789922"">&gt;&gt;No.28426359</font><br />
<font color=""#789922"">&gt;&gt;No.28426379</font><br />
<font color=""#789922"">&gt;&gt;No.28426439</font><br />
二周目是跳了彩蛋<br />
还有123321，倒数suki",,,,
28455646,1594653556,Q627MjK,po遇到503怪谈肯定还会求救，按照目前的情况连外援都没有了，只能走一步看一步了，总之不能像之前一样逃避！,,,,
28455685,1594653598,20aFfM6,二周目前…,,,,
28455689,1594653610,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455641</font><br />
这次咚的时间早了一个多小时",,,,
28455695,1594653619,DtspYIv,“咚咚咚”,,,,
28455696,1594653620,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455584</font><br />
他可能早就惹上了，看见情侣和被挂住",,,,
28455704,1594653638,5b7tlpY,草(´ﾟДﾟ`),,,,
28455707,1594653644,mUuUMR9,"<font color=""#789922"">&gt;&gt;No.28455695</font><br />
(;´Д`)",,,,
28455711,1594653649,OrocAk8,关键是503的zu不可能再有了吧，但是情侣完全无解啊，难不成一直蒙着被子？,,,,
28455725,1594653676,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28455695</font><br />
(ﾟДﾟ≡ﾟДﾟ)",,,,
28455728,1594653683,Q627MjK,狗子不会真的睡着了吧？那岂不是毫无反抗之力？,,,,
28455735,1594653703,WKXpsqI,蒙被子大概率会死，因为恶臭还在,,,,
28455748,1594653724,YTcgHRh,zu死了(´ﾟДﾟ`)但是杀手没死啊,,,,
28455760,1594653749,ggj9HQ5,(;´Д`)我感觉我们前10%都没有到就已经如此裂开，啊这,,,,
28455764,1594653755,OrocAk8,当初是po没办法冲出去情侣才搞他的，会不会这次应该蒙被子，因为zu已经没了,,,,
28455774,1594653770,FToovvr,"<font color=""#789922"">&gt;&gt;No.28455584</font><br />
<br />
也许是因为 <font color=""#789922"">&gt;&gt;No.28416709</font>",,,,
28455788,1594653798,OrocAk8,"<font color=""#789922"">&gt;&gt;No.28455735</font><br />
可是恶臭不是zu吗，zu怎么也不可能继续存在啊，不然他的交换不就成了笑话？",,,,
28455822,1594653858,YTcgHRh,"<font color=""#789922"">&gt;&gt;No.28455788</font><br />
zu死了，但是杀手没死啊",,,,
28455833,1594653888,WKXpsqI,"<font color=""#789922"">&gt;&gt;No.28455788</font><br />
所以是那个好说话的zu没了，这个要么是能力被别的融合了，要么是没法劝服的zu",,,,
28455876,1594653972,5b7tlpY,25了(´ﾟДﾟ`)我突然有点灵感，但是我不敢确定,,,,
28455892,1594654007,OrocAk8,看怪谈版！！,,,,
28455911,1594654049,4kacJUQ,我草我草我草(´ﾟДﾟ`)(´ﾟДﾟ`)(´ﾟДﾟ`)(´ﾟДﾟ`),,,,
28455916,1594654054,mUuUMR9,我一直以为zu把一切都贡献掉了，也包括【别人对他的记忆】，所以桃花婆婆才会不见，不执着于此了来着(;´Д`)现在看来有种猜错的感觉啊,,,,
28455919,1594654070,4kacJUQ,他这次没发错，没发错(´ﾟДﾟ`)(´ﾟДﾟ`),,,,
28455956,1594654136,mUuUMR9,草草草，这就是板块运动吗，绝了,,,,
28455984,1594654201,kQh3cqh,8开头的饼干不是二狗 是谁(ﾟДﾟ≡ﾟДﾟ),,,,
28455987,1594654204,ggj9HQ5,"<font color=""#789922"">&gt;&gt;No.28454450</font>",,,,
28455988,1594654204,DtspYIv,JTVDLS0tLS4lMjAtLi4uJTIwLi4uLi0lMjAuLi0tLSU1Qy4uLi4uJTIwLi4tLiUyMC4uLi4uJTIwLi4tLS0lNUMuLi0uJTIwLi4tLiUyMC0tLS0tJTIwLS4tLiU1Qy4uLi4uJTIwLi4uLi0lMjAtLS4uLiUyMC0uLiU1Qy0uLi4uJTIwLS0uLi4lMjAtLi4uLiUyMC4uLi4uJTVDLi4tLiUyMC4uLS4lMjAtLS0tLSUyMC0uLS4lNUMuLi4uLiUyMC0uLiUyMC4uLS4lMjAuLi0tLSU1Qy0uLi4uJTIwLS4uLi4lMjAuLi0tLSUyMC4uLS4lNUMuLi4uLSUyMC4lMjAtLS0tLSUyMC0uLiU1Qy4uLi4uJTIwLi4uLi0lMjAtLS0tLSUyMC0uLS4lNUMuLi4uLSUyMC4lMjAtLi4uJTIwLi0lNUMtLS0tLiUyMC4uLi4uJTIwLi4tLiUyMC4uLi4t,,,,
28456000,1594654227,FToovvr,"<font color=""#789922"">&gt;&gt;No.28455892</font> <br />
<br />
方便之后检索发个链接：<br />
&gt;&gt;No. 28454450",,,,
