refId,atShard
21534892,0
21534900,0
21535191,0
21535332,0
21535532,0
21535980,0
21536166,0
21536506,0
21536942,0
21537205,0
21537908,0
21538266,0
21543380,0
21543993,0
21544694,0
21545002,0
21546113,0
21548747,0
21550021,0
21552257,0
21560862,0
21561682,0
21562840,0
21563387,0
21564056,0
21577476,0
21579156,0
21586947,0
21587822,0
21659440,1
21659907,1
21682971,1
21711115,1
21712022,1
21726685,1
21728554,1
21729148,1
21729729,1
21730022,1
21731319,1
21734531,2
21745617,2
21748639,2
21757821,2
21759603,2
21770126,2
21782994,2
21785091,2
21786486,2
21793345,2
21797324,2
21803058,2
21805153,2
21814075,2
21814709,2
21814729,2
21815062,2
21815142,2
21815213,2
21815299,2
21815922,2
21816835,2
21826537,2
21829126,2
21829316,2
21829386,2
21829406,2
21830129,2
21830312,2
21830513,2
21845489,3
21872543,3
21891364,3
21899587,3
21911208,3
21941398,3
21947153,3
21962726,3
21962829,3
21962893,3
21962929,3
21963026,3
21963171,3
21963408,3
21964847,3
21971375,4
21975047,4
21975808,4
21984953,4
21988285,4
21988355,4
21995981,4
21998009,4
21998219,4
21998235,4
22012250,4
22016143,4
22053823,4
22053866,4
22054386,4
22054509,4
22054553,4
22054592,4
22072065,5
22079672,5
22080732,5
22081826,5
22083822,5
22086165,5
22187108,5
22214576,5
22214620,5
22214856,5
22215250,5
22219768,5
22221679,5
22257545,6
22287662,6
22298278,6
22339109,6
22342314,6
22361126,6
22362849,6
22374457,6
22376106,6
22380569,6
22384704,6
22406584,6
22410271,6
22412078,6
22431813,6
22433539,7
22503238,7
22511689,7
22513043,7
22560311,7
22583965,7
22610647,7
22614020,7
22645624,7
22648757,7
22652626,7
22652666,7
22653333,7
22668485,8
22670811,8
22673542,8
22713832,8
22722441,8
22749794,8
22827601,9
22883034,9
22883081,9
23032901,10
23351309,10
23479255,10
23492972,10
23503865,10
23503979,10
23630447,11
23636734,11
23678277,11
23940730,11
23941552,11
23942683,11
23976833,11
24007725,11
24019365,11
24039093,11
24047870,11
24047936,11
24169376,12
24211864,12
24222075,12
24259163,12
24274555,12
24370989,12
24536521,12
24544851,13
24581129,13
24583350,13
24618579,13
24863130,13
24863680,13
24863813,13
24864869,13
24864978,13
24865836,13
24882469,13
24898070,14
24930274,14
24966179,14
24967086,14
24967209,14
24967707,14
24967749,14
24967906,14
24968035,14
24979591,14
24984854,14
25034009,14
25037614,14
25163196,15
25167344,15
25185036,15
25212954,15
25213270,15
25215246,15
25239199,15
25239355,15
25251760,15
25276792,15
25277103,15
25280428,15
25281483,15
25335716,15
25342355,15
25344159,15
25347773,15
25348348,15
25349530,15
25351584,15
25352043,15
25352087,15
25352120,15
25352121,15
25352241,15
25352834,15
25353547,15
25355025,15
25389267,16
25430172,16
25436209,16
25470237,16
25474001,16
25738851,16
25773512,16
25813997,16
25815802,16
25816404,16
25816708,16
25816779,16
25819297,16
25819550,16
25835090,17
25922229,17
25925242,17
25955173,17
25985362,17
25999871,17
26181520,17
26213187,17
26362781,18
26402223,18
26431359,18
26484905,18
26484934,18
26485995,18
26503021,18
26505335,18
26516675,18
26534249,18
26562746,18
26562899,18
26759159,18
26773589,18
26802642,18
26830565,18
26832676,18
26832950,18
26896981,18
26929088,18
26956460,18
26959543,18
26959727,18
26960975,19
26989839,19
27020959,19
27047831,19
27078516,19
27108090,19
27109161,19
27140377,19
27167533,19
27253441,19
27256103,19
27268614,19
27284510,19
27313046,19
27400342,20
27459869,20
27491431,20
27521639,20
27580869,20
27581146,20
27581410,20
27581507,20
27612090,20
27641148,20
27643873,20
27670083,20
27670210,20
27697625,20
27698339,20
27715605,20
27734055,21
27751865,21
27779587,21
27807743,21
27866369,21
27897426,21
27931149,21
27959011,21
28014461,21
28018071,21
28130116,21
28189706,21
28215165,21
28249337,21
28279278,21
28311890,21
28371591,21
28396854,21
28423605,21
28455817,21
28463929,21
28471582,21
28668035,22
28728692,22
28785144,22
28799368,22
28819579,22
28848536,22
28879011,22
28879055,22
28879141,22
28879195,22
28879301,22
28879333,22
28879346,22
28879733,22
28879911,22
28880337,22
28882598,22
28882870,22
28882998,22
28883068,22
28908440,23
29119562,23
29140880,23
29153428,23
29153891,23
29154251,23
29155258,23
29250659,24
29298702,24
29348904,24
29412219,24
29748170,24
29752362,24
29816398,25
29848973,25
30091538,25
30227303,25
30270131,25
30313603,25
30316705,25
30341103,25
30341788,25
30341996,25
30495875,26
30503371,26
30505169,26
30509344,26
30549459,26
30552328,26
30553976,26
30563669,26
30567333,26
30605090,26
30605792,26
30646817,26
30661133,26
30661299,26
30661708,26
30662069,27
30662146,27
30975150,27
31178325,27
31253440,27
31253888,27
31279063,27
31418802,27
31450480,27
31451557,27
31451893,27
31457689,27
31459986,27
31482946,27
32271192,28
32819321,29
32821913,29
33056500,29
33056507,29
33057055,29
33058334,29
33603783,30
33603869,30
33603993,30
33605520,30
33606389,30
