id,created_at,user_id,content,attachment_base,attachment_extension,title,name
29752708,1598273927,RQQbrDK,"<font color=""#789922"">&gt;&gt;No.29752362</font><br />
附议",,,,
29752716,1598273948,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.29752362</font><br />
附议",,,,
29754039,1598276666,g4xPEzx,"<font color=""#789922"">&gt;&gt;No.29748170</font><br />
是我说的不够明白。与声音无关。<br />
<br />
在现实生活中，以小刀之类的尖锐物品破坏校车之类重车辆充气的轮胎是非常危险的行为。巨大的气压很可能会致伤这么做的人。<br />
<br />
已知除了暗杀技巧外，阖壶鬼的肉体能力与常人无异，并且两人都为初中年龄以下的女性，亲自这么做几乎必然受伤。<br />
个人认为影噩大概是能硬吃这个伤害的。<br />
<br />
我不觉得Ig会设计这种带有纰漏的剧情，让阖壶鬼亲自用刀割破轮胎放气；这从物理上和动机上都不合理。<br />
<br />
当然需要注意的是，我们并不确定伪噩是否能代为做到此事。或者强行亲自完成之后使用携带的血药恢复伤口是否可行。亦或者在校园内是否得到了其它可以放气的工具。<br />
<br />
*此外，即使是在故事发生的年代，“不能刀扎车胎”也是生活小常识之一。可以以此修正在天的判断。",,,,
29756800,1598282752,RrRXxWn,附议够了吧(=ﾟωﾟ)=,,,,
29756985,1598283087,Ig7nipt,"<font color=""#789922"">&gt;&gt;No.29752362</font><br />
<font color=""#789922"">&gt;&gt;No.29752708</font><br />
<font color=""#789922"">&gt;&gt;No.29752716</font><br />
<font color=""#789922"">&gt;&gt;No.29756800</font>",,,,
29757730,1598284513,Ig7nipt,"在貌似寂静的办公楼前，你把钥匙举过头顶，手舞足蹈，并有规律的敲击正门。他们的监视肯定是从高层的窗口，所以你又后退几步；之后，你注意到二层窗口有个人影冒了出来。<br />
<br />
你虽然看不清他，但他一定是看得清你的。<br />
<br />
这个极限的距离，从更远的地方什么也注意不到。<br />
<br />
他没有让你从正门走，而是小心的从窗缝扔下来一个纸条。影噩既然听觉优秀，那么视觉一定是软肋，通过纸条传递信息，正是人类的优势——而且，这是里面的人打算固守的最直接证据。<br />
<br />
捡起来，你借着红雾散射的月光看到了字；很惊讶，这是mushroom的字体，方块字张牙舞爪，但大小节奏却有板有眼。<br />
<br />
他逃出来了？大爷最后的牺牲……没有白费！<br />
<br />
纸上所写：<br />
「正门、侧门和一楼走廊布置了陷阱。从厕所翻进来，有人接应你。」<br />
<br />
00:37<br />
<br />
仅仅这一瞬间，原本寂静的办公楼，在你眼里已像越战的森野般热闹了起来。<br />
<br />
你的行动？",,,,
29757849,1598284802,122iiCI,"反影噩陷阱可还行，诡雷还是阔剑<br />
<br />
走走走，厕所翻进去，加把劲再更一下？",,,,
29757928,1598284965,AxPkv3o,"掩护组存活确认，不过要是说的理想一点的话，这下可以确认这九个人都在办公楼了( ﾟ∀。)<br />
不过这动就没什么动议了吧?除了和他们汇合也没有更重要的事情了吧?",,,,
29757958,1598285047,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.29757849</font><br />
所以我就TM的直接附议",,,,
29758042,1598285207,122iiCI,所以他们一大伙人选择固守办公楼的原因是清楚没有校车就没办法大规模逃生？,,,,
29758889,1598287004,AxPkv3o,"其实我倒觉得这里最重要的是思考一个对这帮人的话术，毕竟身为女寝组组长在天寺邸对女寝众遇袭事件有着不可推卸的责任，竟然还没跟着下山保护女寝众安全，而是沉迷女色跑去和图书管理员贴贴去了( ﾟ∀。)，这肯定是要被过问的。<br />
但虽然话这么说了，我倒没什么好主意，想半天也只能全盘托出，可能也就上交一下钥匙和我们手上拿的这本书来保证一下清白，至于话语权就没办法了，最恶劣的情况下就是话语权全失，只能做人肉摄像头( ;´д`)",,,,
29759097,1598287476,AxPkv3o,"<font color=""#789922"">&gt;&gt;No.29758042</font><br />
会不会是想办法和警察等外界势力联系上了，然后被要求固守?我想了半天想不到其他可能性了。<br />
不过这个倒也不重要，过两动也就都知道了。",,,,
29760096,1598289940,RQQbrDK,"<font color=""#789922"">&gt;&gt;No.29757849</font><br />
附议，开路开路",,,,
29760322,1598290699,RrRXxWn,"不管怎样先翻厕所再说呗( ﾟ∀。)<br />
之前我们有个周目就死在厕所了这次回来是不是命运的安排（挠头<br />
不过不会因为厕所窗户太高翻不进去吧）",,,,
