id,created_at,user_id,content,attachment_base,attachment_extension,title,name
46050946,1640141222,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46050930</font><br />
//崽啊你怎么学公龙跳舞……你跳给谁看啊崽！",,,,
46052341,1640143585,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46049898</font><br />
圣侏罗【警署训练场】<br />
因为自己和别人不一样，所以可能自卑啊。”<br />
艾蕾解释<br />
“有些白化的动物也会被同类歧视，所以要让它培养自信心呐(ゝ∀･)”",,,,
46052873,1640144431,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46050930</font><br />
伤齿龙并笼】<br />
两只伤齿龙似乎对幼崽很感兴趣，凑到笼子边看着蹦蹦跳跳的奈夫。<br />
催情激素散播后，还需要一段时间才会起效果。<br />
奈夫跳累了，趴在地上休息，很明显学跳舞是为了好玩(oﾟωﾟo)",,,,
46053107,1640144808,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46052873</font><br />
【能天气】<br />
把奈夫抱起来抚摸，然后给聚在这边看幼崽的伤齿龙们提供食物，尝试抚摸它们",,,,
46053211,1640144983,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46052873</font><br />
【能天气】<br />
“你们看，伤齿龙崽是不是很可爱？既然你们都那么喜欢幼崽，喜结连理之后可以亲自扶养一窝可爱的小龙啊，要不要和彼此先试试看？给个机会嘛对吧？”",,,,
46054143,1640146487,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46048045</font><br />
【延渊】<br />
“没有吧。就是被老瞎眼吓了一跳，然后很快也就恢复状态能自己捕猎了”<br />
“不过真的很聪明就是了。”",,,,
46054930,1640147760,7hypyIV,"<font color=""#789922"">&gt;&gt;No.46048117</font><br />
【莉莉安】<br />
顺势抱住胖胖，稳住自己不被拱飞( ﾟ∀。)<br />
“不怕不怕。”",,,,
46055137,1640148080,7hypyIV,"<font color=""#789922"">&gt;&gt;No.46048352</font><br />
//(`ヮ´ )σ`∀´) ﾟ∀ﾟ)σ",,,,
46055914,1640149222,kmxcRHh,"<font color=""#789922"">&gt;&gt;No.46048352</font><br />
【里奇】<br />
(*ﾟーﾟ)为了自己的身心健康，里奇决定无视他身上的门。<br />
但是在开饭前先给耶梦加得一个脑瓜崩( `_っ´)<br />
*如果耶梦加得没办法自己把门取下来，就让它驼着门去警察局报备(`ヮ´ )",,,,
46056052,1640149477,eKkfyEL,"<font color=""#789922"">&gt;&gt;No.46055137</font><br />
//从她踏进门的那一刻，门的生命就进入了倒计时( ´_ゝ`)旦",,,,
46056076,1640149500,S5iE6is,//之前有一些研究线索有人有记录吗( ﾟ∀。),,,,
46056089,1640149523,kmxcRHh,"<font color=""#789922"">&gt;&gt;No.46055137</font><br />
//| ω・´)我们是邻居耶",,,,
46056096,1640149534,sDISpzZ,//哎呀还是我家奈夫可爱啊( ﾟ∀。),,,,
46056161,1640149621,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46056096</font><br />
//猛还是我家玄霄猛啊ﾟ∀ﾟ)σ",,,,
46056811,1640150790,eKkfyEL,"<font color=""#789922"">&gt;&gt;No.46056161</font><br />
//莽还是我家耶梦加得莽啊( ›´ω`‹ )",,,,
46067824,1640169309,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46053211</font><br />
伤齿龙并笼】<br />
收到激素的影响，雄性伤齿龙活跃的在笼子力跑来跑去，兴奋到以至于嘴角泛起白沫，把自己搭起来的磨牙棒堆踢到了都毫无察觉。<br />
雌性伤齿龙也表现的焦躁不安，但是比起雄性伤齿龙的激动，它则是更多的不安，一甩尾巴回到内舍。<br />
奈夫被行为突变的雄性伤齿龙吓了一跳，跑回饲主身边，躲在裤腿后面暗中观察",,,,
46068132,1640169812,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46054143</font><br />
卡诺德【警署】<br />
“啊....”警员把笔录往桌子上一放，靠在椅背上<br />
“据现在收集的消息，这个头目为什么会出现在你家有两种推测，取回脏物或者偷窃恐龙，但是根本没有头绪他要亲自来啊....你有什么想法吗？”<br />
PS：<br />
【什么动物身上没有追踪器呢】野生或者完全圈养下的，比如肉用的弯龙，窃蛋龙和原角龙就没有。<br />
【卡诺德劳动人口情况怎么样】平时充足，但临近圣诞节或者过年都会有人手短缺的情况<br />
关键词：完全圈养，临近节日人手短缺",,,,
46068139,1640169827,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46067824</font><br />
【能天气】<br />
<br />
“喂这个是不是释放太多了……管他的。”让奈夫躲进房间，然后尝试让雄龙冷静下来",,,,
46068527,1640170375,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46054930</font><br />
胖胖【南方巨兽龙】♀<br />
突然发现，因为训练紧急终止，所以羊腿还挂在原地没收起来。<br />
看见其他的异特龙崽崽都够不到放弃，小胖子就大摇大摆的走过去，张口叼住羊腿，随后用力一扯。<br />
随着“蹦”的一声，胖胖硬生生把羊腿连着吊绳拽下来，在其他幼龙震惊的目光下叼到角落里大快朵颐",,,,
46068552,1640170414,mNknQCE,"<font color=""#789922"">&gt;&gt;No.46052341</font><br />
【灰屿】<br />
 哦原来恐龙之间也有歧视，那要怎么让他培养自信呢<br />
*给豆柯狂比大拇指 ",,,,
46068685,1640170572,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46055914</font><br />
耶梦加得【南方巨兽龙】♀<br />
脑瓜崩—0，简直是皮糙肉厚|-` )<br />
将大部分短吻鳄两三口吞进肚子后，就地打滚。可怜的木门和门槛随着翻滚被压的碎裂一地",,,,
46069150,1640171177,7hypyIV,"<font color=""#789922"">&gt;&gt;No.46068527</font><br />
【莉莉安】<br />
( ﾟ∀。)9得让胖胖明白有指令才能吃饭<br />
//话说我一个人在异特龙堆里面吗( ﾟ∀。)其他主人呢",,,,
46069205,1640171244,7hypyIV,"<font color=""#789922"">&gt;&gt;No.46056089</font><br />
//下次一起驯龙( ﾟ∀。)人( ﾟ∀。)<br />
话说两人拼团雇施工队能不能便宜一点( ﾟ∀。)",,,,
46069340,1640171437,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46068132</font><br />
//( ﾟ∀。)7 我不懂啊",,,,
46069419,1640171538,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46069340</font><br />
//我只能推断出那只龙是这个老大圈养的用来做违法事情。<br />
//然后人手短缺，下属放假，他不得不自己来( ﾟ∀。)",,,,
46069897,1640172194,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46069419</font><br />
对啦| ω・´)",,,,
46069941,1640172270,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46069897</font><br />
//( ﾟ∀。)别说这老大对下属还挺良心",,,,
46069967,1640172315,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46068139</font><br />
伤齿龙并笼】<br />
被激素刺激的雄龙显得兴奋异常，甚至因为能天气的靠近而龇牙咧嘴，上蹿下跳】<br />
r点",,,,
46070084,1640172500,S5iE6is,"<font color=""#789922"">&gt;&gt;No.46068132</font><br />
【延渊】<br />
“( ﾟ∀。)总之，这条龙肯定是这个老大自己圈养的，目的是做什么违法的事情，可能是诱拐其他龙？也可能是辅助走私货物。”<br />
“至于他亲自来，应该是下属都放假了吧，没人帮他干活了。”",,,,
46070272,1640172797,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46069967</font><br />
【能天气】<br />
r",,,,
46071662,1640174970,sPBpONf,"<font color=""#789922"">&gt;&gt;No.46030357</font><br />
【犹艾】<br />
一边填报名表，一边接着问小男孩：“这样啊，看来你的姐姐很辛苦呢。能给我说说你的姐姐吗？她是个什么样的人呢？平时出去都会干些什么呀？一般都会去哪里呢？除了你的姐姐之外这里还有别人工作吗？”",,,,
46071729,1640175057,jNNr5Dv,"<font color=""#789922"">&gt;&gt;No.46049038</font><br />
r",,,,
46074303,1640178274,kNSIh21,"<font color=""#789922"">&gt;&gt;No.46048135</font><br />
 好的~请完善您的个人信息。以及参与抽签【r】，我们会为您提供新手饲养者物品赠送服务~ <br />
 姓名：詹姆斯<br />
 性别：男<br />
 饲养物种：伤齿龙<br />
 物种名字：犹格索托斯  <br />
 物种特性：夜猫子，学习能力强，好奇心旺盛<br />
 在此处填以参加抽奖：r",,,,
46080546,1640185967,kmxcRHh,"<font color=""#789922"">&gt;&gt;No.46069205</font><br />
//也许还能让施工队免费帮我修个门( ﾟ∀。)",,,,
46081426,1640186939,kmxcRHh,"<font color=""#789922"">&gt;&gt;No.46068685</font><br />
【里奇】<br />
( ›´ω`‹ )已经，无所谓了……<br />
拍拍屁股上的土和绒毛。<br />
“好！我们出发去警局！”<br />
门打个电话问问维修队吧( ´_っ`)",,,,
46094004,1640224443,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46068552</font><br />
卡诺德【警署】<br />
“要不然，你先带它去私人训练一下。我帮你看看能不能和其他人沟通一下”<br />
并没有说明为什么，但是胸有成竹的样子。",,,,
46094071,1640224560,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46069150</font><br />
奥索兰【警署训练场】<br />
还有两个助练已经目瞪口呆了(´ﾟДﾟ`)<br />
胖胖吃饭时更是不鸟命令，大口大口啃着羊腿，引得旁边围了一圈异特龙宝宝",,,,
46094360,1640225141,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46070272</font><br />
伤齿龙并笼】<br />
r（6）<br />
成功<br />
经过好长时间的安抚，雄性伤齿龙好不容易安静下来，精疲力尽的趴在地上，在此期间踢翻食盆，还差点咬栏杆崩坏牙齿，不过好在没出什么大事。<br />
但是今天关于让两只亲近的计划完全没有进展....<br />
(;´Д`)<br />
<br />
要继续任务嘛【可终止/报酬支付50%】",,,,
46094386,1640225177,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46094004</font><br />
圣侏罗圣侏罗啊啊啊啊(つд⊂)",,,,
46094964,1640226276,sDISpzZ,"<font color=""#789922"">&gt;&gt;No.46094360</font><br />
【能天气】<br />
暂时终止，让它们也休息一下，带奈夫回家",,,,
46097506,1640230411,mNknQCE,"<font color=""#789922"">&gt;&gt;No.46094386</font><br />
【灰屿】<br />
啊行， 那麻烦你了<br />
*跟着指示找到了一个训练单间，把豆柯从身上扒下来<br />
 姑且先练习一下基础指令，前进停止坐下之类的，做得好就点头和竖大拇指 ﾟ∀ﾟ)b",,,,
46099252,1640233305,7hypyIV,"<font color=""#789922"">&gt;&gt;No.46094071</font><br />
【莉莉安】<br />
*靠近两个助教并搭话<br />
“哈哈，抱歉家里小龙有点贪吃( ﾟ∀。)”<br />
“我是莉莉安，她是胖胖，我第一次养龙，没什么经验，请问这种情况该怎么办( ﾟ∀。)”<br />
*观察宝宝们的动向<br />
“……话说这些宝宝不会抢食吧( ﾟ∀。)要是打起来我可能拉不住”",,,,
46114374,1640260463,kNSIh21,"<font color=""#789922"">&gt;&gt;No.46094004</font><br />
<font color=""#789922"">&gt;&gt;No.46074303</font><br />
已经注册了( ﾟ∀ﾟ)",,,,
46130633,1640286331,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46071662</font><br />
圣美索【自然资源管理局大厅】<br />
“我姐是负责圣美索的组长，这里因为人口稠密，自然资源少，又都在旷野区。所以没多少人在这工作”<br />
拖腮帮子看着犹艾和帕里，帕里也蹦上凳子看着小孩<br />
“姐姐你养的是棱齿龙嘛，野外的话小心点大盗龙。”",,,,
46130659,1640286469,mVEbuXy,"<font color=""#789922"">&gt;&gt;No.46071729</font><br />
r【3<br />
亲近进食<br />
【羊腿握在手中，红雀扇动翅膀落地，头一抻一抻的小心翼翼凑过来，尝试着啄牛腿】",,,,
