refId,atShard
43059959,0
43059967,0
43060010,0
43060039,0
43060371,0
43062320,0
43062334,0
43062547,0
43068803,0
43069244,0
43071102,0
43072795,0
43079434,0
43079844,0
43083897,0
43095949,1
43096567,1
43096650,1
43096717,1
43096782,1
43096818,1
43096855,1
43096886,1
43097560,1
43097595,1
43097963,1
43098072,1
43098158,1
43098645,1
43098900,1
43099463,1
43103568,1
43103607,1
43103731,1
43104486,2
43105348,2
43106612,2
43107024,2
43115252,2
43115569,2
43115756,2
43115825,2
43115951,2
43117003,2
43117462,2
43118794,3
43120086,3
43120230,3
43120309,3
43120313,3
43120825,3
43120885,3
43123524,3
43123913,3
43124276,3
43124313,3
43125038,3
43125298,3
43125872,3
43125997,3
43126019,3
43126025,3
43126028,3
43134565,4
43134777,4
43134914,4
43135227,4
43135228,4
43135862,5
43157275,5
43163451,5
43169022,5
43169568,5
43169862,5
43170042,5
43170054,5
43170060,5
43170301,5
43170329,5
43183086,6
43183300,6
43183352,6
43183812,6
43184790,6
43185775,6
43195119,6
43195176,6
43195185,6
43195200,6
43195219,6
43195234,6
43205721,7
43207794,7
43235908,7
43239552,8
43248231,8
43248262,8
43248283,8
43266999,8
43267009,8
43267089,8
43267128,8
43267147,8
43267156,8
43267163,8
43267164,8
43267171,8
43267187,8
43267202,8
43267206,8
43267545,9
43275700,9
43277063,9
43277088,9
43293054,9
43304415,9
43304433,9
43304444,9
43403445,10
43403532,10
43403553,10
43433949,11
43467368,11
43483003,12
43526503,12
43527603,12
43529641,12
43529651,12
43562014,12
43564414,12
43566801,12
43566884,12
43566997,12
43577210,13
43581943,13
43614820,13
43649741,13
43653214,13
43653341,13
43654212,13
43661168,13
43664914,14
43665845,14
43665915,14
43666501,14
43667029,14
43667218,14
43667621,14
43668476,14
43668495,14
43668503,14
43668915,15
43688655,15
43706005,15
43707470,15
43717813,16
43718077,16
43718953,16
43719538,16
43722203,16
43724277,16
43724760,16
43731438,16
43764948,17
43780830,17
43784107,17
43784629,17
43788890,17
43810089,17
43816883,18
43864528,18
43864572,18
43875524,18
43876152,18
43876669,18
43876870,18
43876907,18
43878896,18
43879679,19
43886013,19
43899179,19
43899282,19
43899402,19
43899408,19
43899491,19
43913757,20
43913799,20
43916023,20
43917143,20
43922271,21
43922345,21
43922381,21
43922396,21
43949336,22
43949662,22
43949677,22
43949701,22
43949704,22
43949985,22
43949997,22
43950011,22
43956005,23
43956016,23
43956029,23
43984525,23
44008456,23
44010144,23
44014755,24
44064489,24
44064509,24
44064872,24
44065579,24
44067783,24
44075930,24
44076276,24
44118860,25
44119341,25
44119862,25
44132033,25
44132038,25
44132098,25
44132885,25
44133463,25
44133892,25
44134092,25
44134440,25
44134584,25
44144322,26
44307448,26
44313661,26
44313718,26
44313747,26
44314097,26
44314103,26
44314110,26
44317641,26
44317650,26
44319065,27
44404547,27
44469038,28
44469805,28
44496108,28
44496727,28
44496775,28
44496782,28
44562200,29
44562340,29
44562378,29
44562421,29
44562450,29
44562475,29
44562477,29
44562509,29
44562577,29
44562602,29
44562606,29
44562610,29
44562661,29
44562691,29
44562703,29
44562713,29
44562723,30
44562989,30
44565474,30
44598778,30
44628160,31
44628336,31
44628502,31
44628549,31
44629799,31
44630035,31
44630192,31
44630227,31
44630233,31
44630325,31
44630474,31
44630646,31
44630718,31
44630802,31
44630814,31
44630867,31
44630890,31
44630931,31
44631047,31
44631165,31
44631458,31
44631699,31
44631705,31
44631736,31
44660114,32
44660382,32
44661707,32
44661877,32
44722174,33
44852985,33
44853042,33
44853065,33
45543261,34
45543270,34
45699946,34
47096207,34
47096400,34
47096581,34
47105146,35
47225003,35
48513927,35
48514288,35
48583289,36
48587736,36
48625751,36
48625794,36
48626450,36
48626540,36
48626958,36
48634039,37
48670510,37
48670570,37
48670588,37
48819407,38
48823224,38
48823297,38
