id,created_at,user_id,content,attachment_base,attachment_extension,title,name
44853139,1637763900,X3pmu9c,"( ﾟ∀。)&lt;我在试试我运气<br />
来个运气骰 r",,,,
44853147,1637763917,tftk7WH,"<font color=""#789922"">&gt;&gt;No.44852985</font><br />
“希望你狂放不羁的灵魂得以平息,随着山泉的叮咚,清风的抚慰,进入平静和香甜的沉眠中.”<br />
维尔特做出了总结词,率领众人把姜梦的棺材置入墓穴中.<br />
一行人,一铲子一铲子的,把泥土覆盖在姜梦的棺材上.<br />
棕色的大地平等的容下了所有死者,并聆听着生者的诉说…这次也不例外.",,,,
44853149,1637763920,TPnvlyD,"<font color=""#789922"">&gt;&gt;No.44853065</font><br />
//杰克误操作竟意外进化成传奇尸鲲，无限吞噬进化狂暴称霸全服！",,,,
44853155,1637763933,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.44853139</font><br />
//( ﾟ∀。)&lt;看起来还行啊",,,,
44853164,1637763945,tftk7WH,"<font color=""#789922"">&gt;&gt;No.44853042</font><br />
//( ﾟ∀。)不会啊...",,,,
44853175,1637763957,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.44853149</font><br />
//( ﾟ∀。)&lt;你搁这山海经呢",,,,
44853188,1637763978,mDbVXvR,"<font color=""#789922"">&gt;&gt;No.44853149</font><br />
//･ﾟ( ﾉヮ´ )草<br />
<font color=""#789922"">&gt;&gt;No.44853139</font><br />
//( ﾟ∀。)人 经典测试高点正式低点",,,,
44853282,1637764140,tftk7WH,"杰克:第一次龙躯显现:骰点结果2<br />
龙躯显现:龙目<br />
持续三回合,平常使用中,能够看到亡魂的痕迹…但是无法沟通.<br />
同时,战斗使用则使[射击]+2",,,,
44853298,1637764174,RrCHVnk,"<font color=""#789922"">&gt;&gt;No.44853149</font><br />
//草･ﾟ( ﾉヮ´ )",,,,
44853333,1637764225,mDbVXvR,"<font color=""#789922"">&gt;&gt;No.44853282</font><br />
//( ﾟ∀。)很有用，两个效果都是。",,,,
44853348,1637764250,TPnvlyD,"<font color=""#789922"">&gt;&gt;No.44853282</font><br />
//咱俩换换成不成( ﾟ∀。)",,,,
44853390,1637764354,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.44853333</font><br />
//( ﾟ∀。)&lt;热知识，我射击是0<font color=""#789922"">&gt;&gt;No.44853282</font><br />
//( ﾟ∀。)&lt;我莫得射击能不能变成+2破甲啊，指眼神更好能看清楚别人的破绽",,,,
44853394,1637764360,tftk7WH,"<font color=""#789922"">&gt;&gt;No.44853333</font><br />
//( ﾟ∀。)四连...小顾运气莫名其妙的啊",,,,
